Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
46.0,0,0,943.4,569.6,1006.8,468.2,mouth_nose,out,"[ 1.10381307e+03  5.58516802e-02  1.91957281e+00  1.93232144e+02  1.39319022e+00  1.63616747e+00  1.62180896e+04 -1.38291342e+00  9.51369884e+02  6.65541581e+03  7.44464733e+00  5.63873335e+02  1.47984460e+02  1.19588963e+02  1.52000000e-01]"
46.0,0,1,1004.4,476.8,991.4,547.8,eye,mouth_nose,"[ 1.16798388e+00 -1.33817888e+00  2.14083052e+00  3.20079250e-01  3.80530670e-01  9.64341126e-01  9.85900226e+02 -1.42645396e+02  1.79353191e+04  3.54044966e+02  6.95778658e+01  6.41169580e+03 -1.03758449e+01  7.21803297e+01  3.70000000e-02]"
46.0,0,2,980.8,549.4,913.0,537.7,mouth_nose,eye,"[ 5.86308665e+00  7.96249938e-01  5.30657844e-01  1.24363656e+00  2.88374480e-01  3.42848106e-01  4.76641595e+03  1.10265652e+02  2.68045375e+02  2.52375718e+03  1.02828177e+02  1.52528926e+02 -9.97908966e+01  6.88021075e+01  1.20000000e-02]"
46.0,0,3,900.5,542.3,979.0,547.1,eye,mouth_nose,"[ 3.51725724e-01 -1.33832986e-01  2.58586212e-01  2.74704266e-01  1.68104921e-01  2.24109389e-01  3.15429552e+04  5.23076624e+02  3.38077584e+02  1.31856271e+04  2.66973553e+02  1.70520461e+02  8.65009204e+01  7.86466147e+01  1.50000000e-02]"
46.0,0,4,982.1,547.3,922.3,566.6,mouth_nose,mouth_nose,"[ 7.66464934e+00 -2.53314945e+00  1.20490142e+00  1.75410177e+00  6.64909277e-01  5.37179362e-01  3.77469579e+03 -1.57584555e+02  6.16309085e+02  1.94464140e+03  1.05351820e+02  3.50824557e+02 -7.21129055e+01  6.28373297e+01  1.10000000e-02]"
46.0,0,5,930.8,568.4,978.9,546.9,mouth_nose,eye,"[ 3.28910222e-01 -6.67968981e-01  2.68842789e+00  2.33128333e-01  3.44680019e-01  1.32835415e+00  1.14458398e+04 -4.30807698e+02  2.49692098e+03  4.80586481e+03  2.02859876e+02  1.03857832e+03  1.14083948e+02  5.26864309e+01  2.40000000e-02]"
46.0,0,6,976.8,545.6,916.6,546.8,eye,eye,"[ 6.18561891e+00 -1.78604689e-01  2.81578796e-01  1.38375283e+00  4.26107048e-01  2.22794399e-01  3.55023546e+03  3.87139425e+01  1.06019512e+03  1.86319196e+03  9.90439563e+01  5.94796203e+02 -8.88580427e+01  6.02119589e+01  1.10000000e-02]"
46.0,0,7,916.0,550.1,963.6,551.6,mouth_nose,mouth_nose,"[ 4.43147050e-01 -2.14253291e-01  7.16717239e-01  3.70531009e-01  2.84306348e-01  5.93790781e-01  3.26461617e+04  3.87884204e+02  1.03419312e+03  1.53121288e+04  3.17113326e+02  6.24524663e+02  8.81950580e+01  4.76236286e+01  9.00000000e-03]"
46.0,0,8,971.5,551.6,930.4,585.3,mouth_nose,mouth_nose,"[ 5.70438249e+00 -3.83111566e+00  2.99997495e+00  1.12469096e+00  8.53053865e-01  1.12869970e+00  4.77952615e+03  8.74950478e+01  9.51528410e+02  2.34884654e+03  1.42271350e+02  4.70956443e+02 -5.06499145e+01  5.31497883e+01  1.60000000e-02]"
46.0,0,9,937.0,587.8,979.1,545.0,mouth_nose,eye,"[ 3.04638562e-01 -7.91816153e-01  4.44136501e+00  2.42735284e-01  4.23361604e-01  1.60597933e+00  7.74449624e+03 -3.72310233e+02  3.56598664e+03  3.10871023e+03  1.68691423e+02  1.45059497e+03  1.35472393e+02  6.00354062e+01  2.50000000e-02]"
46.0,0,10,979.5,543.4,925.4,565.8,eye,mouth_nose,"[ 2.80408851e+00 -1.29456296e+00  9.41343066e-01  6.84121970e-01  4.17994445e-01  4.77387899e-01  6.37076695e+03 -3.33042102e+02  5.93299589e+02  2.36106371e+03  1.20298719e+02  2.24932560e+02 -6.75080944e+01  5.85539922e+01  3.00000000e-02]"
46.0,0,11,922.1,563.7,967.7,541.0,mouth_nose,eye,"[ 2.04029852e-01 -6.59103967e-01  4.50295299e+00  1.64150327e-01  3.49604908e-01  1.52801761e+00  1.76038680e+04 -2.76232363e+02  1.29104385e+03  8.87558922e+03  2.31644624e+02  7.15267369e+02  1.16464444e+02  5.09377071e+01  1.20000000e-02]"
46.0,0,12,973.7,538.8,905.0,550.0,eye,mouth_nose,"[ 6.15291102e+00 -1.09251396e+00  3.80321723e-01  1.31742323e+00  3.11236003e-01  1.96828594e-01  3.23848965e+03 -6.38967397e+01  1.46681557e+02  1.59670531e+03  8.00833677e+01  8.04738506e+01 -8.07406615e+01  6.96069680e+01  1.40000000e-02]"
46.0,0,13,898.6,548.5,951.4,559.2,mouth_nose,mouth_nose,"[ 3.46948574e-01 -1.06790756e-01  1.74442302e-01  3.02106875e-01  1.34960608e-01  1.54272031e-01  1.73603910e+04  5.15025680e+02  6.53231577e+02  7.91182304e+03  2.21815797e+02  3.19307835e+02  7.85440648e+01  5.38732772e+01  1.40000000e-02]"
46.0,0,14,956.8,567.4,760.2,966.2,mouth_nose,out,"[ 1.28356761e+01 -5.89148975e+00  2.89503531e+00  4.29800758e+00  1.26947440e+00  7.46067625e-01  1.68131445e+04 -5.75062492e+02  4.14314793e+04  5.89288740e+03  1.84875608e+02  1.50551269e+04 -2.62423264e+01  4.44626810e+02  4.20000000e-02]"
46.0,0,15,766.9,962.0,722.4,1038.6,out,out,"[ 3.19837295e+00 -8.09368231e-01  3.88629765e-01  1.16929905e+00  4.21131816e-01  2.72532403e-01  6.65669063e+03 -3.79906811e+02  1.15299532e+04  2.41960109e+03  1.60578086e+02  4.14803831e+03 -3.01540153e+01  8.85878660e+01  3.40000000e-02]"
46.0,0,16,708.0,1037.3,650.4,910.7,out,out,"[ 1.48684054e+00  1.25640187e+00  4.29556734e+00  4.19642188e-01  3.83241135e-01  1.29706057e+00  1.99220050e+03  1.86421974e+02  2.25498305e+04  8.03023008e+02  9.73680421e+01  8.68954260e+03 -1.55535590e+02  1.39087455e+02  2.70000000e-02]"
