Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
16.0,0,0,903.5,533.0,918.0,544.4,eye,eye,"[ 2.34955740e+01 -2.21195589e+01  2.88008476e+01  9.13949801e+00  5.73810546e+00  9.80787978e+00  4.52479766e+04 -8.63883024e+02  1.37326114e+04  1.66973593e+04  1.75371448e+02  5.47292541e+03  5.18253265e+01  1.84447825e+01  1.50000000e-02]"
16.0,0,1,914.4,551.0,853.6,518.6,mouth_nose,eye,"[ 1.98509661e+00  6.05983029e-01  9.90189354e-01  4.24554992e-01  2.33930350e-01  5.11513726e-01  1.98608979e+03 -1.92073686e+01  1.08378571e+03  7.80436030e+02  1.02843592e+02  4.13828149e+02 -1.18052919e+02  6.88941217e+01  3.00000000e-02]"
16.0,0,2,860.0,524.3,912.4,587.5,eye,mouth_nose,"[ 1.10908436e-01 -3.13606092e-02  2.34365284e-01  9.55298464e-02  7.52610754e-02  2.03101866e-01  6.67188821e+03  3.98872477e+02  1.31001955e+04  2.65458759e+03  1.69481282e+02  5.40160243e+03  3.96626000e+01  8.20975030e+01  2.30000000e-02]"
16.0,0,3,916.0,602.1,965.0,527.5,mouth_nose,eye,"[ 1.73029782e-01 -5.55100415e-01  4.24095010e+00  1.27743041e-01  2.79278245e-01  1.38669090e+00  2.16325633e+03 -1.69742228e+02  1.93305882e+03  7.53132583e+02  8.99584493e+01  6.88390967e+02  1.46701632e+02  8.92533473e+01  3.90000000e-02]"
16.0,0,4,959.0,546.1,975.5,539.4,eye,eye,"[ 4.21224499e+01 -3.25303908e+01  5.80654271e+01  1.85439986e+01  1.02157621e+01  2.94496302e+01  3.60864579e+04 -9.52615288e+02  3.21826260e+04  1.20884226e+04  1.94045638e+02  1.18019085e+04  1.12100133e+02  1.78084250e+01  1.60000000e-02]"
16.0,0,5,973.1,543.0,863.5,561.7,eye,out,"[ 4.61976635e+00 -8.09518405e-01  4.28777349e-01  1.03808123e+00  4.56970243e-01  3.01141632e-01  6.76111194e+03 -3.13052685e+02  1.87362874e+03  2.59122194e+03  1.30033908e+02  7.26810778e+02 -8.03174082e+01  1.11183857e+02  3.00000000e-02]"
16.0,0,6,857.6,555.7,896.2,545.4,out,eye,"[ 2.41862290e-01 -6.41327574e-01  2.91276366e+00  1.70240335e-01  2.77935649e-01  1.00728903e+00  1.95519721e+04 -1.37223760e+02  4.11300246e+02  1.01313746e+04  2.18553921e+02  2.43432151e+02  1.04940655e+02  3.99505945e+01  1.00000000e-02]"
16.0,0,7,924.7,542.8,832.3,1014.6,eye,out,"[ 4.69372533e+00 -3.05019074e+00  2.11590526e+00  1.02908765e+00  4.69987861e-01  4.61307681e-01  4.49856654e+03 -2.64068187e+02  4.34202971e+04  1.34138098e+03  1.16994727e+02  1.39072043e+04 -1.10808815e+01  4.80762935e+02  7.60000000e-02]"
16.0,0,8,841.8,1011.1,800.4,1034.4,out,out,"[ 5.28557238e+00 -1.17017473e+00  4.09758199e-01  1.30943680e+00  4.89301376e-01  2.59727942e-01  2.72960877e+03 -1.12767879e+02  1.82794938e+03  1.39568535e+03  1.02151341e+02  9.12519365e+02 -6.06291067e+01  4.75063154e+01  1.40000000e-02]"
16.0,0,9,802.5,1050.1,906.2,704.1,out,out,"[ 9.00645725e-02 -1.43575933e-01  9.21079948e+00  7.03852179e-02  3.91410658e-01  3.32381248e+00  1.04970381e+04 -2.37719659e+02  5.58290900e+03  3.60393031e+03  1.29829225e+02  2.40157133e+03  1.63315949e+02  3.61205883e+02  4.30000000e-02]"
16.0,0,10,896.6,685.7,919.4,569.3,mouth_nose,mouth_nose,"[ 5.89876392e-02 -1.41083101e-01  5.51833044e+00  4.78732511e-02  2.28966909e-01  1.89328588e+00  6.90546897e+02 -6.61658840e+01  1.99766605e+03  2.49149854e+02  4.94966349e+01  8.06107983e+02  1.68917431e+02  1.18611972e+02  3.40000000e-02]"
16.0,0,11,909.5,546.3,926.5,562.9,eye,mouth_nose,"[ 3.74613671e+01 -3.01552124e+01  4.68087610e+01  1.64186650e+01  8.64421460e+00  1.86728852e+01  3.70636935e+04 -9.35562019e+02  2.82862535e+04  1.20811363e+04  1.87790220e+02  1.12449833e+04  4.56820604e+01  2.37604714e+01  1.50000000e-02]"
16.0,1,0,904.6,545.3,900.8,643.2,eye,mouth_nose,"[ 1.18574279e+00 -1.25174630e+00  1.73555733e+00  4.10105928e-01  3.67661586e-01  7.67874666e-01  9.53024831e+02 -9.80941131e+01  2.11352901e+04  3.87086340e+02  7.74327625e+01  7.90082853e+03 -2.22282655e+00  9.79737210e+01  2.80000000e-02]"
16.0,1,1,897.7,654.5,935.7,553.2,mouth_nose,mouth_nose,"[ 1.47804724e-01 -3.54873270e-01  4.42144895e+00  1.23670092e-01  2.78508808e-01  1.60903335e+00  2.32636734e+03 -1.67782199e+02  3.01345844e+03  7.75155578e+02  9.58037952e+01  1.05434042e+03  1.59437757e+02  1.08192837e+02  4.40000000e-02]"
16.0,1,2,935.0,550.8,907.8,567.2,mouth_nose,mouth_nose,"[ 3.36609674e+01 -2.75924332e+01  4.09880813e+01  1.49812729e+01  7.90290327e+00  1.42748743e+01  4.47008689e+04 -1.00887132e+03  2.81469032e+04  1.54984986e+04  1.98279220e+02  1.06549999e+04 -5.89124947e+01  3.17616120e+01  1.80000000e-02]"
16.0,1,3,912.6,569.4,885.5,649.3,mouth_nose,mouth_nose,"[ 4.38177749e+00 -2.83757685e+00  2.42551340e+00  1.05449313e+00  7.34487948e-01  1.05789203e+00  2.19938611e+03 -6.42252070e+01  2.55516354e+04  1.10699161e+03  1.06242503e+02  1.13323621e+04 -1.87355986e+01  8.43707295e+01  1.40000000e-02]"
16.0,1,4,893.0,660.5,939.5,477.3,mouth_nose,eye,"[ 7.04568811e-02 -8.28579455e-02  7.96287909e+00  6.21992233e-02  2.84781853e-01  2.83652981e+00  7.83175869e+03 -3.53397364e+02  7.28814048e+03  2.57162175e+03  1.45222813e+02  2.62427795e+03  1.65757896e+02  1.89009233e+02  4.20000000e-02]"
16.0,1,5,940.3,491.6,935.5,580.1,eye,mouth_nose,"[ 9.70078090e-01 -1.21140950e+00  1.92361494e+00  2.82823532e-01  2.97687786e-01  7.40865908e-01  4.92696464e+02 -7.51484866e+01  1.50745909e+04  1.88242445e+02  5.57119897e+01  5.35394228e+03 -3.10452591e+00  8.86300739e+01  3.20000000e-02]"
16.0,1,6,929.8,581.9,899.3,561.9,mouth_nose,mouth_nose,"[ 2.86797255e+01 -2.65620513e+01  4.59470917e+01  9.73766269e+00  6.56504564e+00  1.40197781e+01  3.74263262e+04 -9.71026769e+02  3.34830517e+04  1.30225484e+04  2.02763302e+02  1.26828549e+04 -1.23254367e+02  3.64725924e+01  3.00000000e-02]"
16.0,1,7,895.1,546.6,923.7,538.9,eye,eye,"[ 2.18563014e+01 -2.37625767e+01  4.06826725e+01  5.32664568e+00  4.67751317e+00  1.08891339e+01  4.02964973e+04 -9.69002477e+02  2.64082689e+04  1.34858536e+04  1.88913632e+02  1.02999715e+04  1.05068488e+02  2.96184064e+01  4.10000000e-02]"
16.0,1,8,918.3,538.4,929.8,520.9,eye,eye,"[ 3.56398185e+01 -2.83556658e+01  4.44211838e+01  1.79835474e+01  9.12707456e+00  1.72869006e+01  4.43900889e+04 -9.79604051e+02  2.40649799e+04  1.51837375e+04  1.94249269e+02  9.04240345e+03  1.46689369e+02  2.09403916e+01  1.30000000e-02]"
16.0,1,9,935.0,512.6,773.9,1026.4,eye,out,"[ 8.07393356e+00 -4.42238305e+00  2.56936787e+00  2.10998532e+00  7.80373028e-01  6.02817440e-01  5.89626222e+03 -2.52765155e+02  4.42804695e+04  1.99947047e+03  1.23637855e+02  1.56341282e+04 -1.74086144e+01  5.38464159e+02  5.80000000e-02]"
16.0,1,10,780.1,1018.4,859.0,643.0,out,out,"[ 9.55062937e-02 -1.87320842e-01  7.91502944e+00  7.39697328e-02  3.71345037e-01  2.86307398e+00  3.37380150e+03 -1.41601554e+02  1.09151802e+04  1.09675474e+03  9.34207856e+01  4.16208369e+03  1.68130573e+02  3.83601838e+02  5.90000000e-02]"
16.0,1,11,861.2,634.4,895.5,562.9,out,mouth_nose,"[ 1.27226575e-01 -2.63874945e-01  5.36648173e+00  1.07711185e-01  2.96412536e-01  1.86919424e+00  3.30216596e+03 -1.09045163e+02  1.64886788e+03  1.37117242e+03  1.06786633e+02  7.51342270e+02  1.54372021e+02  7.93015763e+01  2.40000000e-02]"
16.0,2,0,902.3,541.6,912.9,583.1,eye,mouth_nose,"[ 1.09016643e-01 -5.75468206e-02  3.11866533e-01  8.67587613e-02  9.44983209e-02  2.75828739e-01  9.52823722e+02  1.47169827e+02  9.09402616e+03  4.73333005e+02  7.73315983e+01  4.25689830e+03  1.43282353e+01  4.28323476e+01  1.50000000e-02]"
16.0,2,1,922.7,613.6,924.0,561.4,mouth_nose,mouth_nose,"[ 1.90935845e+01 -2.03275517e+01  3.35778793e+01  4.60874896e+00  3.91489762e+00  7.78038031e+00  4.77625524e+04 -9.88388297e+02  2.15137972e+04  1.66341039e+04  1.96278825e+02  8.41059478e+03  1.78573389e+02  5.22161852e+01  3.40000000e-02]"
16.0,2,2,921.4,556.4,889.0,544.7,mouth_nose,eye,"[ 3.31781569e+01 -2.77135439e+01  4.84967099e+01  1.51222087e+01  8.30175549e+00  1.74556979e+01  3.80564408e+04 -9.49737329e+02  2.84757202e+04  1.29660815e+04  1.93982061e+02  1.09836028e+04 -1.09855214e+02  3.44477866e+01  2.00000000e-02]"
16.0,2,3,879.6,532.8,853.7,535.6,eye,eye,"[ 3.51046302e+01 -2.78729504e+01  4.52735512e+01  1.87833026e+01  9.22925971e+00  1.68847330e+01  3.90647133e+04 -9.70443139e+02  3.10074703e+04  1.25525851e+04  1.86250933e+02  1.14683408e+04 -8.38298249e+01  2.60509117e+01  1.60000000e-02]"
16.0,2,4,856.2,547.1,893.1,562.6,out,mouth_nose,"[ 2.58382670e-01 -4.49292710e-02  1.98213997e-01  2.28243831e-01  9.99430307e-02  1.78164063e-01  1.30402951e+04  5.04046878e+02  2.14765190e+03  6.64409259e+03  2.34317371e+02  1.12370833e+03  6.72149545e+01  4.00232432e+01  1.20000000e-02]"
16.0,2,5,898.3,560.8,891.7,577.2,mouth_nose,mouth_nose,"[ 1.04361756e+03 -6.50284517e-02  2.44859634e+00  1.92564486e+02  1.45025268e+00  2.07310932e+00  1.74646305e+04 -2.30850882e-02  9.04921021e+02  7.08277824e+03  8.03000526e+00  5.49912016e+02 -2.19217786e+01  1.76782352e+01  6.20000000e-02]"
16.0,3,0,922.6,547.1,928.9,616.0,mouth_nose,mouth_nose,"[ 2.08548532e+01 -2.19729051e+01  2.67197571e+01  5.24943859e+00  4.06034742e+00  7.23984328e+00  4.73406318e+04 -9.95275353e+02  2.20512812e+04  1.63601678e+04  1.91878284e+02  8.70440762e+03  5.22441884e+00  6.91874266e+01  3.30000000e-02]"
16.0,3,1,932.7,627.8,927.4,566.9,mouth_nose,mouth_nose,"[ 2.33483527e+01 -2.39848719e+01  4.20421841e+01  6.33468230e+00  5.15316231e+00  1.09833420e+01  3.59596927e+04 -9.41496026e+02  3.07322799e+04  1.20312145e+04  1.98427199e+02  1.14778141e+04 -1.75026199e+02  6.11301889e+01  3.70000000e-02]"
16.0,3,2,910.6,573.6,956.7,573.0,mouth_nose,mouth_nose,"[ 2.40935421e+01 -2.52595705e+01  4.25553988e+01  6.11681841e+00  5.22949530e+00  1.14679138e+01  3.98269267e+04 -9.87556606e+02  3.02322932e+04  1.31865794e+04  1.94939349e+02  1.14997011e+04  9.07456730e+01  4.61039044e+01  3.60000000e-02]"
16.0,3,3,955.1,587.0,930.9,571.5,mouth_nose,mouth_nose,"[ 1.18389147e+00  4.11078625e-01  8.74139076e-01  4.81290104e-01  1.50407598e-01  2.81853805e-01  3.57554405e+03  1.54161739e+02  1.21297713e+02  1.63675469e+03  1.09525235e+02  5.73807422e+01 -1.22639394e+02  2.87383020e+01  1.80000000e-02]"
