Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
23.0,0,0,991.7,530.6,966.0,529.4,eye,eye,"[ 1.92602934e+01  5.95322423e+00  3.49385272e+00  1.05682061e+01  2.17176772e+00  1.58302318e+00  4.55530675e+04  9.57431693e+02  2.05829330e+04  1.59220170e+04  1.89063897e+02  8.06583515e+03 -9.26733476e+01  2.57280003e+01  1.10000000e-02]"
23.0,0,1,968.4,523.5,949.8,515.6,eye,eye,"[ 8.82699408e+00  2.01954747e+00  1.64809696e+00  2.35729342e+00  7.30268947e-01  1.01328803e+00  4.65306485e+04  9.66858189e+02  1.98482325e+04  1.63801700e+04  1.91503307e+02  7.82158255e+03 -1.13012445e+02  2.02081667e+01  2.50000000e-02]"
23.0,0,2,956.4,529.6,949.2,513.3,eye,eye,"[ 1.27434307e+03 -3.29265450e-01  2.45880437e+00  2.14457665e+02  1.45799066e+00  2.07966676e+00  1.73675854e+04  1.29287301e-01  9.11380639e+02  6.97943914e+03  8.00318682e+00  5.57125803e+02 -1.56168099e+02  1.78193715e+01  6.50000000e-02]"
23.0,0,3,962.3,510.8,1026.6,530.6,eye,eye,"[ 1.80940997e-01 -7.33571699e-02  1.35254055e-01  1.46915798e-01  8.79464859e-02  1.19867532e-01  7.49000167e+03  3.70275367e+02  6.90010935e+02  2.52304576e+03  1.21306425e+02  2.16809917e+02  7.28847487e+01  6.72794917e+01  4.30000000e-02]"
23.0,0,4,1015.3,541.6,976.3,579.8,eye,mouth_nose,"[ 4.40615023e+00 -3.47175289e+00  3.12848802e+00  7.47731562e-01  7.81849343e-01  1.20968740e+00  8.20903065e+03 -3.26189387e+02  5.90009114e+02  3.44082689e+03  1.78267165e+02  2.50639178e+02 -4.55937174e+01  5.45915744e+01  2.30000000e-02]"
23.0,0,5,974.4,588.1,973.2,618.3,mouth_nose,mouth_nose,"[ 7.03302307e+00  2.53294583e+00  3.13877461e+00  1.78253326e+00  7.80414651e-01  1.75064203e+00  4.02309144e+04  9.66517449e+02  2.64090919e+04  1.41554101e+04  1.96171642e+02  1.03609510e+04 -2.27545644e+00  3.02238317e+01  2.00000000e-02]"
23.0,0,6,963.7,619.0,993.7,619.6,mouth_nose,mouth_nose,"[4.00014850e+00 3.20425816e+00 7.20755802e+00 1.24644875e+00 8.20471244e-01 2.73103624e+00 4.04072243e+04 9.99181939e+02 3.03475437e+04 1.34660402e+04 2.03376992e+02 1.13013781e+04 8.88542372e+01 3.00059994e+01 1.70000000e-02]"
23.0,0,7,985.9,615.9,923.2,618.2,mouth_nose,mouth_nose,"[ 6.55888311e+00 -2.71273769e-01  1.47177661e-01  1.44807630e+00  2.90966437e-01  1.14784220e-01  3.58671065e+03  5.73454389e+01  1.89187347e+02  1.88316442e+03  8.07345440e+01  1.12210341e+02 -8.78991829e+01  6.27421708e+01  1.10000000e-02]"
23.0,0,8,924.7,629.1,954.0,615.6,mouth_nose,mouth_nose,"[ 2.26740281e-01 -6.23420368e-01  3.22713905e+00  1.64622525e-01  2.83154573e-01  9.92296428e-01  1.10911348e+04 -5.63617765e+01  5.41572560e+02  6.29286029e+03  1.89194230e+02  3.21716413e+02  1.14737927e+02  3.22605022e+01  1.00000000e-02]"
23.0,0,9,963.8,599.0,935.7,479.8,mouth_nose,eye,"[ 3.77144711e-01  3.63209584e-01  4.18392889e+00  2.00956011e-01  3.17100504e-01  1.62179547e+00  1.47316349e+03  1.85537402e+02  1.21196593e+04  4.42090550e+02  7.06633472e+01  4.07388006e+03 -1.66735370e+02  1.22467343e+02  5.10000000e-02]"
