Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
17.0,0,0,920.0,521.3,916.2,510.9,eye,eye,"[ 3.12157882e+01 -2.68253079e+01  4.32402873e+01  1.30003329e+01  7.74053765e+00  1.54664170e+01  4.44808021e+04 -9.74606579e+02  2.26481029e+04  1.51576520e+04  1.91410904e+02  8.85600571e+03 -1.59928474e+02  1.10724884e+01  1.90000000e-02]"
17.0,0,1,923.8,518.5,934.6,536.4,eye,eye,"[ 3.62289421e+01 -2.86519726e+01  4.37044392e+01  1.87673800e+01  9.64764171e+00  1.77032947e+01  4.36926770e+04 -9.92423792e+02  2.58929561e+04  1.46440494e+04  2.00447262e+02  9.95476699e+03  3.11047631e+01  2.09057408e+01  1.40000000e-02]"
17.0,0,2,936.4,526.8,947.3,514.7,eye,eye,"[ 1.03890049e+03  2.65404436e-01  2.81249919e+00  1.99324978e+02  1.46986175e+00  2.28567111e+00  1.66188392e+04 -1.27639722e+00  8.93789085e+02  6.65744470e+03  7.66474937e+00  5.16393297e+02  1.37986637e+02  1.62855764e+01  6.80000000e-02]"
17.0,0,3,941.0,516.1,882.7,547.7,eye,mouth_nose,"[ 5.68262116e+00 -2.76207527e+00  1.79576758e+00  1.18423897e+00  7.84621363e-01  8.70145655e-01  9.20735032e+03  2.03387886e+02  1.09985623e+03  4.08986196e+03  1.75123524e+02  5.06575138e+02 -6.15412438e+01  6.63132717e+01  1.90000000e-02]"
17.0,0,4,891.8,555.6,903.3,617.8,mouth_nose,mouth_nose,"[ 3.57890523e-01 -1.94180724e-01  5.35820225e-01  2.42931674e-01  2.25870315e-01  4.61673443e-01  3.02086526e+03  2.48644069e+02  2.36843733e+04  1.49563814e+03  1.33502237e+02  1.07413306e+04  1.04749833e+01  6.32541698e+01  1.40000000e-02]"
17.0,0,5,914.5,619.0,938.3,524.1,mouth_nose,eye,"[ 7.78181704e-02 -7.85069956e-02  8.81454326e+00  6.76948565e-02  3.06588435e-01  3.44127624e+00  4.23157434e+03 -2.10532848e+02  7.04802772e+03  1.89855107e+03  1.30250237e+02  3.02345385e+03  1.65921147e+02  9.78388982e+01  1.90000000e-02]"
17.0,0,6,942.8,525.0,988.5,512.7,eye,eye,"[ 1.52964790e-01 -3.88203358e-01  1.87314689e+00  1.04206183e-01  1.83300634e-01  7.73308988e-01  1.35013180e+04 -7.67948347e+01  4.42106730e+02  5.89392995e+03  1.96861526e+02  2.00828329e+02  1.05063992e+02  4.73263140e+01  2.00000000e-02]"
17.0,0,7,984.8,519.1,915.9,522.7,eye,eye,"[ 2.96599515e+00 -1.86509304e-01  1.95486000e-01  9.54710590e-01  2.12597499e-01  1.57721369e-01  1.54113150e+04  2.08982812e+02  4.75794581e+02  6.16214361e+03  2.12655979e+02  1.89162688e+02 -8.70090361e+01  6.89939852e+01  2.70000000e-02]"
17.0,0,8,916.3,527.8,923.0,532.3,eye,eye,"[ 4.92660501e+01 -3.16020241e+01  4.75416882e+01  3.43809781e+01  1.36571702e+01  2.33055497e+01  4.22196514e+04 -9.75013565e+02  2.56669169e+04  1.42883315e+04  1.91930235e+02  9.73727670e+03  5.61130405e+01  8.07093551e+00  8.00000000e-03]"
17.0,0,9,922.9,545.9,908.9,617.7,eye,mouth_nose,"[ 2.08406825e+00 -1.67004563e+00  1.80969170e+00  4.98115735e-01  4.41321260e-01  8.01797025e-01  7.58959189e+02 -3.53094423e+01  1.51708241e+04  3.61527786e+02  6.95308039e+01  6.49440661e+03 -1.10334402e+01  7.31521702e+01  1.80000000e-02]"
17.0,0,10,911.5,620.7,927.4,495.2,mouth_nose,eye,"[ 6.89224350e-02  3.43482910e-02  8.91199155e+00  6.00684582e-02  2.68444346e-01  3.24932021e+00  3.60989696e+03 -1.90763947e+02  5.40442487e+03  1.50006558e+03  1.18755140e+02  2.28316814e+03  1.72779481e+02  1.26503202e+02  2.60000000e-02]"
17.0,0,11,925.9,493.3,957.8,500.8,eye,eye,"[ 3.58722205e+01 -2.96807416e+01  5.19093333e+01  1.57806949e+01  9.09581079e+00  2.27764337e+01  4.10919999e+04 -9.78363380e+02  2.78937470e+04  1.36334015e+04  1.94309594e+02  1.08204506e+04  7.67694916e+01  3.27698032e+01  1.70000000e-02]"
17.0,0,12,960.7,500.8,991.6,502.5,eye,eye,"[ 2.56369439e-01 -8.46320494e-02  3.46943731e-01  2.25203555e-01  1.48162544e-01  2.92492001e-01  1.25912225e+04  3.43768218e+02  3.44319051e+02  6.56066380e+03  2.14603768e+02  1.96902653e+02  8.68509796e+01  3.09467284e+01  1.00000000e-02]"
17.0,0,13,993.2,502.4,918.0,557.7,eye,mouth_nose,"[ 5.51199864e+00 -3.54436779e+00  3.00666122e+00  1.30970767e+00  1.04631515e+00  1.46699977e+00  1.67479620e+04 -5.39063694e+02  4.47246424e+03  6.51510796e+03  2.24449545e+02  1.73656205e+03 -5.36702651e+01  9.33441482e+01  2.80000000e-02]"
17.0,0,14,914.4,582.2,844.0,961.4,mouth_nose,out,"[ 8.68604062e+00 -5.69404393e+00  3.91501806e+00  2.11423624e+00  8.90415456e-01  7.36231299e-01  1.36472101e+04 -3.82227955e+02  4.47093411e+04  4.70303086e+03  1.93272093e+02  1.57834398e+04 -1.05174458e+01  3.85679660e+02  4.40000000e-02]"
17.0,0,15,832.2,968.4,775.9,997.4,out,out,"[ 4.98748747e+00 -1.30762324e+00  5.43345931e-01  1.68894562e+00  6.07586199e-01  3.66187093e-01  1.49526054e+04 -4.82262814e+02  2.56592253e+03  5.92178500e+03  2.18380629e+02  1.08449615e+03 -6.27471088e+01  6.33300087e+01  2.40000000e-02]"
17.0,0,16,778.8,999.0,701.6,1011.5,out,out,"[ 4.60077724e+00 -4.64410041e-01  1.59665358e-01  1.58388120e+00  4.01950081e-01  1.33786874e-01  1.64985451e+04 -4.99500042e+02  1.64442407e+03  6.55365216e+03  1.88325116e+02  6.62159076e+02 -8.08026553e+01  7.82054346e+01  2.80000000e-02]"
17.0,0,17,695.7,1021.6,661.8,1024.3,out,out,"[ 2.92845792e+00 -2.06969588e-01  9.47681040e-02  1.29436660e+00  2.39032371e-01  8.03509279e-02  7.92145264e+03 -1.11031153e+02  2.98047078e+02  3.41719852e+03  1.72162464e+02  1.32435358e+02 -8.54462320e+01  3.40073521e+01  2.00000000e-02]"
17.0,0,18,662.9,1025.7,888.1,657.1,out,mouth_nose,"[ 3.02232439e-01 -6.85420225e-01  9.23904508e+00  2.23148675e-01  6.07997318e-01  3.70814959e+00  3.45290594e+04 -5.81165865e+02  1.40826438e+04  1.21701315e+04  2.23364322e+02  5.31062385e+03  1.48576722e+02  4.31950229e+02  5.20000000e-02]"
17.0,0,19,883.5,661.0,877.3,873.2,mouth_nose,out,"[ 2.16256485e+00 -1.42304656e+00  1.17766733e+00  6.62630667e-01  3.76681949e-01  4.82192707e-01  5.15035566e+02  6.60669095e+00  5.35877761e+04  2.99534029e+02  4.35472754e+01  1.97194093e+04 -1.67357587e+00  2.12290556e+02  1.00000000e-02]"
17.0,1,0,929.0,542.6,909.3,531.8,eye,eye,"[ 1.05002624e+00  1.83379025e-01  7.28339959e-01  6.50374431e-01  1.79756093e-01  3.83807901e-01  1.02762661e+04 -2.53906149e+02  3.29646951e+02  4.55475223e+03  1.95313944e+02  1.48975757e+02 -1.18732582e+02  2.24661968e+01  1.90000000e-02]"
17.0,1,1,915.7,539.4,915.6,607.7,eye,mouth_nose,"[ 3.15992627e-01 -3.10253059e-01  7.25303262e-01  1.48407312e-01  1.80327467e-01  5.19139309e-01  2.06745892e+02  5.29665331e+01  2.17667241e+04  1.07617488e+02  3.68101051e+01  9.35861142e+03 -8.38883434e-02  6.83000732e+01  1.60000000e-02]"
17.0,1,2,916.3,636.0,935.1,586.3,mouth_nose,mouth_nose,"[ 1.24385518e+03 -2.20162226e-01  2.97072982e+00  2.18339191e+02  1.50901209e+00  2.43067582e+00  1.53853975e+04  6.06298309e-01  9.66836880e+02  6.32694399e+03  7.29914718e+00  5.83676809e+02  1.59279892e+02  5.31368987e+01  4.70000000e-02]"
17.0,1,3,930.7,577.2,913.3,634.4,mouth_nose,mouth_nose,"[ 3.15160572e+00 -2.19016370e+00  2.14885594e+00  8.33969186e-01  6.62603950e-01  1.06464659e+00  1.85202135e+03 -1.64888807e+01  1.66081003e+04  9.53689729e+02  1.03111837e+02  7.73171482e+03 -1.69195409e+01  5.97879587e+01  1.30000000e-02]"
17.0,1,4,909.4,641.9,947.7,539.4,mouth_nose,eye,"[ 7.47025906e-02 -7.77766193e-02  7.86478087e+00  6.57627236e-02  2.94844388e-01  2.88073833e+00  5.92386610e+03 -2.62607118e+02  3.81842035e+03  2.46958255e+03  1.31805438e+02  1.69623536e+03  1.59511369e+02  1.09421844e+02  2.20000000e-02]"
17.0,1,5,941.8,528.9,896.5,521.4,eye,eye,"[ 5.46629315e+00  7.12587364e-01  4.98876200e-01  1.34611752e+00  2.76990012e-01  3.31771002e-01  4.89562123e+03 -3.20964213e+01  1.65558402e+02  2.73015949e+03  1.04866840e+02  1.05558515e+02 -9.94007800e+01  4.59166636e+01  9.00000000e-03]"
17.0,1,6,892.1,523.8,914.9,608.0,eye,mouth_nose,"[ 3.10255829e-01 -1.75587346e-01  4.36728076e-01  1.96281432e-01  1.96682715e-01  3.84050286e-01  4.09781040e+03  3.11507353e+02  1.78966628e+04  1.55504200e+03  1.35766947e+02  6.31221210e+03  1.51514265e+01  8.72323335e+01  3.10000000e-02]"
17.0,1,7,912.7,615.0,926.3,527.9,mouth_nose,eye,"[ 5.78471032e-02 -1.13125518e-01  6.47472366e+00  5.28363103e-02  2.39408176e-01  2.21396152e+00  7.75828134e+02 -7.88533806e+01  3.65820949e+03  3.13221221e+02  6.59644223e+01  1.52530359e+03  1.71125361e+02  8.81553742e+01  2.50000000e-02]"
17.0,1,8,926.1,533.5,911.3,588.9,eye,mouth_nose,"[ 2.36847632e+00 -1.80419194e+00  1.94844074e+00  5.11926040e-01  4.68773187e-01  8.69604478e-01  5.27521539e+02 -8.80449546e+00  1.45267444e+04  2.83801610e+02  5.71371833e+01  6.87842200e+03 -1.49571623e+01  5.73428287e+01  1.40000000e-02]"
17.0,1,9,916.1,604.3,951.0,521.0,mouth_nose,eye,"[ 1.20222302e-01 -2.99341563e-01  6.45530892e+00  1.04436820e-01  3.31656467e-01  2.55297298e+00  2.84516781e+03 -1.64017453e+02  4.33096446e+03  1.13829385e+03  1.06804697e+02  1.78101657e+03  1.57267896e+02  9.03155579e+01  2.50000000e-02]"
17.0,1,10,943.9,524.8,891.5,560.1,eye,mouth_nose,"[ 5.60773173e+00 -3.37809716e+00  2.38985660e+00  1.06173464e+00  7.17689174e-01  8.61659669e-01  6.06537580e+03  3.67062989e+01  4.97966104e+02  2.70774388e+03  1.52910222e+02  2.36961540e+02 -5.60332649e+01  6.31810889e+01  1.90000000e-02]"
17.0,1,11,899.8,564.6,869.1,921.3,mouth_nose,out,"[ 2.92908512e+00 -2.24568987e+00  1.87865138e+00  6.61973559e-01  3.62331468e-01  4.37178881e-01  2.04699037e+03 -1.95681537e+02  4.75170404e+04  6.60361454e+02  8.06930676e+01  1.68690869e+04 -4.91913773e+00  3.58018687e+02  5.30000000e-02]"
17.0,1,12,869.1,929.0,921.7,989.9,out,out,"[ 2.02677437e-01 -1.88189601e-02  1.05559438e-01  1.78820016e-01  6.23346596e-02  8.90919871e-02  1.70668382e+04  6.35766360e+02  1.08003074e+04  6.40362406e+03  2.24809257e+02  4.22769716e+03  4.08175332e+01  8.04709264e+01  2.60000000e-02]"
17.0,1,13,925.3,991.9,921.1,1024.6,out,out,"[ 3.77062802e-01 -6.64194829e-02  1.31168944e-01  2.54952925e-01  1.19019991e-01  1.13604997e-01  1.46434392e+03 -9.51807586e+01  5.28551756e+03  6.29386208e+02  1.01656124e+02  2.21301258e+03 -7.31901938e+00  3.29686214e+01  2.30000000e-02]"
17.0,1,14,917.8,1017.0,938.9,530.5,out,eye,"[ 1.20586331e-01  4.74502883e-01  1.39613314e+01  8.32143706e-02  4.21900522e-01  6.36199094e+00  4.11574978e+03 -2.09773274e+02  7.41349360e+03  1.46393569e+03  8.73689485e+01  3.12553178e+03  1.77516580e+02  4.86957349e+02  4.10000000e-02]"
17.0,1,15,930.1,542.0,930.6,584.8,eye,mouth_nose,"[ 1.19920383e+00 -9.56558208e-01  1.32335860e+00  5.53355710e-01  5.09549690e-01  9.37118706e-01  2.40054666e+03  1.67495247e+02  1.00057873e+04  1.25610524e+03  1.23724434e+02  4.74444738e+03  6.69312772e-01  4.28029205e+01  1.40000000e-02]"
17.0,1,16,931.8,594.1,950.5,881.6,mouth_nose,out,"[ 9.78700909e-01 -6.84769267e-01  6.65179292e-01  4.25466304e-01  2.85961697e-01  4.06330570e-01  5.13946780e+03  3.27359471e+02  4.51542442e+04  1.88924289e+03  1.35157677e+02  1.59103165e+04  3.72147461e+00  2.88107515e+02  3.30000000e-02]"
17.0,1,17,946.5,905.8,909.8,1033.5,out,out,"[ 3.85831277e+00 -1.78080318e+00  1.10334833e+00  1.16539508e+00  5.23910602e-01  5.09496182e-01  9.11753211e+03 -4.49317606e+02  3.84601913e+04  3.59126976e+03  1.86623400e+02  1.44089466e+04 -1.60342449e+01  1.32869033e+02  2.60000000e-02]"
17.0,2,0,924.4,529.7,922.2,520.6,eye,eye,"[ 2.36903716e-01 -5.49999195e-02  9.61189717e-01  2.04264160e-01  1.83454191e-01  5.69554472e-01  2.54899756e+03 -7.85946717e+01  6.43013560e+02  1.15006264e+03  1.26769483e+02  2.85390055e+02 -1.66409052e+02  9.36215787e+00  2.00000000e-02]"
17.0,2,1,932.9,540.3,910.6,546.7,eye,eye,"[ 4.23996097e+01 -2.92373212e+01  4.53171981e+01  2.90306474e+01  1.27744905e+01  2.07196267e+01  3.97008354e+04 -9.56016012e+02  2.61765053e+04  1.36161187e+04  1.90214763e+02  9.94601486e+03 -7.39867583e+01  2.32002155e+01  1.10000000e-02]"
