Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
13.0,0,0,935.5,549.4,887.2,545.8,mouth_nose,eye,"[ 3.39398941e+00  1.32950294e-01  1.86622475e-01  6.45775502e-01  1.69400692e-01  1.53310869e-01  1.51163388e+03  4.14787309e+01  1.21038917e+02  7.23160517e+02  6.52964007e+01  6.15515055e+01 -9.42626111e+01  4.84339757e+01  1.60000000e-02]"
13.0,0,1,886.2,543.3,979.4,531.1,eye,eye,"[ 2.68457028e-01 -6.16913489e-01  1.96416807e+00  1.32336214e-01  1.91833044e-01  6.33064470e-01  1.79594094e+04 -1.03584225e+01  3.82516460e+02  7.15462959e+03  1.87958957e+02  1.54040788e+02  9.74576880e+01  9.39951063e+01  2.60000000e-02]"
13.0,0,2,984.1,536.0,936.3,637.5,eye,mouth_nose,"[ 4.88024480e+00 -4.20621632e+00  3.93079630e+00  9.46380927e-01  7.01110176e-01  1.02438148e+00  2.99309669e+03 -1.47408768e+02  4.74810722e+03  1.20416236e+03  1.19550372e+02  1.81838848e+03 -2.52174325e+01  1.12192201e+02  3.00000000e-02]"
13.0,0,3,938.9,645.3,924.1,679.7,mouth_nose,mouth_nose,"[ 1.93946915e+01 -1.94699529e+01  2.22481106e+01  4.74012249e+00  3.27986315e+00  5.24754688e+00  5.00669749e+04 -9.83301089e+02  1.80948081e+04  1.75313667e+04  1.95392029e+02  7.37713777e+03 -2.32789492e+01  3.74486315e+01  2.40000000e-02]"
13.0,0,4,919.7,677.6,939.7,677.9,mouth_nose,mouth_nose,"[ 2.00501976e+01 -2.03822269e+01  2.55718139e+01  4.85725618e+00  3.47400644e+00  6.32110873e+00  4.88430156e+04 -9.43594695e+02  1.67337064e+04  1.68679561e+04  1.82454476e+02  7.13952069e+03  8.91406278e+01  2.00022499e+01  1.50000000e-02]"
13.0,0,5,939.5,676.9,891.7,554.6,mouth_nose,mouth_nose,"[ 8.64666939e-01  9.94054455e-01  4.56680598e+00  2.90479800e-01  2.96191489e-01  1.19587093e+00  1.80758452e+03 -8.05179118e+01  2.78668459e+03  6.73512222e+02  8.79844439e+01  1.07761536e+03 -1.58652345e+02  1.31309291e+02  3.40000000e-02]"
13.0,0,6,892.9,556.1,923.0,575.6,mouth_nose,mouth_nose,"[ 3.01793834e-01 -3.52808186e-02  2.52603276e-01  2.66204680e-01  1.04212082e-01  2.12798791e-01  1.64593127e+04  5.84246455e+02  5.85841589e+03  8.45725040e+03  2.68926099e+02  3.24810509e+03  5.70631979e+01  3.58644671e+01  9.00000000e-03]"
13.0,0,7,931.5,596.4,914.7,607.9,mouth_nose,mouth_nose,"[ 3.16902094e+01 -2.52346787e+01  3.15044829e+01  1.58844975e+01  7.78015713e+00  1.06383850e+01  4.47282325e+04 -9.60802197e+02  2.11929195e+04  1.54790814e+04  1.89673203e+02  8.52279813e+03 -5.56074309e+01  2.03590275e+01  1.30000000e-02]"
13.0,0,8,907.9,598.3,871.9,964.2,mouth_nose,out,"[ 1.67072809e+01 -1.26727951e+01  9.83487591e+00  3.77957095e+00  1.70164552e+00  1.43672801e+00  4.37901283e+04 -9.62947484e+02  2.59135566e+04  1.56305936e+04  1.88982498e+02  9.70343305e+03 -5.61910604e+00  3.67666710e+02  6.80000000e-02]"
13.0,0,9,871.5,958.5,717.2,953.0,out,out,"[ 6.65200953e+00  1.12718247e-01  9.58587909e-02  1.57937415e+00  2.95254444e-01  7.91753324e-02  4.21875307e+03 -7.69260404e+01  3.19999574e+02  1.75282423e+03  7.90106058e+01  1.31194463e+02 -9.20414350e+01  1.54397992e+02  2.90000000e-02]"
13.0,0,10,714.9,951.3,1035.9,941.9,out,out,"[ 1.45356100e+00 -1.59188172e+00  1.86943872e+00  3.56044105e-01  2.44806155e-01  3.47867927e-01  4.14795164e+04  2.69415323e+02  3.62919561e+02  1.52309943e+04  1.67504524e+02  1.28935390e+02  9.16773410e+01  3.21137603e+02  4.70000000e-02]"
13.0,0,11,1036.2,949.9,1222.4,1779.2,out,out,"[ 9.87371527e-02 -5.31760060e-02  6.12625825e-02  5.30033748e-02  4.13174119e-02  5.26146144e-02  5.11196209e+03  3.63597162e+02  3.84427869e+04  1.43024819e+03  9.58624765e+01  1.31150616e+04  1.26545700e+01  8.49946428e+02  1.22000000e-01]"
13.0,1,0,919.9,553.3,929.0,556.5,mouth_nose,mouth_nose,"[ 4.35756451e+01 -2.94910274e+01  4.18192091e+01  3.03958333e+01  1.27162479e+01  1.78269578e+01  4.31660152e+04 -9.75458778e+02  2.38290029e+04  1.54456865e+04  1.99935751e+02  9.39037966e+03  7.06258602e+01  9.64624279e+00  8.00000000e-03]"
13.0,1,1,931.0,565.3,920.6,555.4,mouth_nose,mouth_nose,"[ 3.91530561e+01 -2.84882982e+01  4.43763927e+01  2.44799178e+01  1.11308638e+01  1.87509042e+01  4.09497484e+04 -9.60876633e+02  2.44224014e+04  1.38568789e+04  1.87023620e+02  9.61270021e+03 -1.33589059e+02  1.43586211e+01  1.10000000e-02]"
13.0,1,2,933.2,561.5,913.6,550.3,mouth_nose,mouth_nose,"[ 3.68857941e+01 -2.86587415e+01  4.55049563e+01  1.92040384e+01  9.51374700e+00  1.77233184e+01  4.15913415e+04 -9.81663763e+02  2.83046108e+04  1.40698988e+04  1.97650896e+02  1.04573771e+04 -1.19744881e+02  2.25743217e+01  1.50000000e-02]"
