Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
42.0,0,0,851.1,475.9,819.8,471.9,eye,out,"[ 4.11294335e+01 -3.04713917e+01  7.65461486e+01  2.53682416e+01  1.31619259e+01  4.36229954e+01  2.24758171e+04 -7.72849369e+02  3.40118274e+04  7.24740421e+03  1.55989920e+02  1.21199364e+04 -9.72826694e+01  3.15545559e+01  1.80000000e-02]"
42.0,0,1,821.1,469.7,776.5,463.0,out,out,"[ 3.63946214e+01 -2.88585039e+01  8.12454369e+01  2.13319513e+01  1.20604378e+01  4.45187416e+01  1.80757475e+04 -6.92667373e+02  3.43216862e+04  6.20616533e+03  1.46713130e+02  1.21906987e+04 -9.85433291e+01  4.51004435e+01  2.30000000e-02]"
42.0,0,2,777.8,458.6,760.6,458.8,out,out,"[ 4.34711684e+01 -3.05141274e+01  9.75204294e+01  3.03670597e+01  1.48085128e+01  5.45304755e+01  1.70805906e+04 -6.69025201e+02  3.20944307e+04  5.68170007e+03  1.48195215e+02  1.22554150e+04 -8.93338000e+01  1.72011628e+01  1.30000000e-02]"
42.0,0,3,758.3,449.2,775.0,450.5,out,out,"[ 1.47469472e+03 -1.85728866e-01  2.55621701e+00  2.19980796e+02  1.45840408e+00  2.11179260e+00  1.69073344e+04 -3.03985187e+00  1.01612164e+03  6.73954015e+03  7.89750950e+00  6.00528395e+02  8.55488260e+01  1.67505224e+01  1.34000000e-01]"
42.0,0,4,774.6,453.8,762.1,456.5,out,out,"[ 4.68199065e+01 -3.03517315e+01  1.02474372e+02  3.63076133e+01  1.58889552e+01  5.64542871e+01  1.55629343e+04 -6.32412722e+02  2.75262409e+04  4.96506245e+03  1.36374418e+02  1.09797749e+04 -7.78113668e+01  1.27882759e+01  1.10000000e-02]"
42.0,0,5,772.4,447.8,845.2,505.0,out,eye,"[ 1.87784406e-01 -4.37139363e-02  2.02372201e-01  1.66223403e-01  9.13450730e-02  1.74098300e-01  1.47177765e+04  5.72740336e+02  7.13340570e+03  5.89068717e+03  2.22609498e+02  2.95253924e+03  5.18427734e+01  9.25833678e+01  2.30000000e-02]"
42.0,0,6,837.1,501.2,799.8,478.2,eye,out,"[ 1.80476621e+00  7.36142520e-01  1.07175505e+00  4.42323763e-01  1.76965647e-01  3.57355139e-01  1.67454552e+03  8.33644883e+01  2.11007822e+02  7.39936754e+02  8.42334023e+01  9.54245476e+01 -1.21658896e+02  4.38211136e+01  2.10000000e-02]"
42.0,0,7,799.7,479.1,781.2,464.7,out,out,"[ 3.76230887e+01 -2.90679841e+01  7.71091766e+01  2.26436136e+01  1.26888246e+01  4.52168473e+01  1.97027967e+04 -7.26223870e+02  3.53532232e+04  6.35477142e+03  1.56608641e+02  1.31734342e+04 -1.27896419e+02  2.34437625e+01  1.70000000e-02]"
42.0,0,8,776.8,453.9,771.5,452.2,out,out,"[ 1.03832023e+03  1.58049943e-01  2.06049839e+00  1.99269908e+02  1.47964504e+00  1.74744110e+00  1.66205986e+04 -3.68406422e+00  8.91140403e+02  6.65806096e+03  7.76483096e+00  5.14695013e+02 -1.07783888e+02  5.56596802e+00  1.44000000e-01]"
42.0,0,9,771.5,461.2,762.8,461.3,out,out,"[ 5.64431949e+01 -3.28477764e+01  1.06689942e+02  4.48813660e+01  1.85574830e+01  5.78940429e+01  1.91195362e+04 -6.97705218e+02  2.77713567e+04  6.49669305e+03  1.51443512e+02  1.06850383e+04 -8.93414568e+01  8.70057469e+00  8.00000000e-03]"
