Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
48.0,0,0,9051117.0,125.0,887.8,456.8,out,out,"[ 1.21305317e+03 -4.91197020e-02  2.69619380e+00  1.95774535e+02  1.40831306e+00  2.19350754e+00  1.09421260e+04 -4.57923979e-01  9.31043123e+02  4.57042358e+03  7.66379901e+00  5.81886945e+02 -8.99978994e+01  9.05022921e+06  7.00000000e-02]"
48.0,0,1,887.7,445.3,897.7,455.5,out,out,"[ 1.14920532e+03  8.67111486e-02  2.21303888e+00  2.05209243e+02  1.53937971e+00  1.86184742e+00  1.58653052e+04 -1.31996095e+00  9.29908384e+02  6.68476955e+03  7.42370067e+00  5.59381481e+02  4.44327336e+01  1.42842571e+01  8.70000000e-02]"
48.0,0,2,900.5,433.3,899.0,448.5,out,out,"[ 1.77476436e-01 -4.31088471e-02  7.63286090e-01  1.30156939e-01  1.36838376e-01  6.08005295e-01  2.57159650e+02 -7.38248529e+01  3.43163324e+04  1.27599795e+02  4.00158137e+01  1.43390309e+04 -5.63594070e+00  1.52738338e+01  1.50000000e-02]"
48.0,0,3,887.4,464.6,812.9,434.6,out,out,"[ 2.57123310e+00  7.37657920e-01  8.41305196e-01  4.08393203e-01  2.06127241e-01  4.30196344e-01  1.01347918e+03  8.33904036e+01  4.90826377e+02  3.92490390e+02  6.44412301e+01  1.84293403e+02 -1.11933885e+02  8.03134484e+01  3.10000000e-02]"
48.0,0,4,817.2,449.7,896.4,499.9,out,eye,"[ 1.61061742e-01 -4.58028770e-02  1.65355928e-01  1.36295033e-01  8.76795275e-02  1.49406701e-01  1.05190021e+04  4.77900688e+02  3.53878033e+03  3.92550407e+03  1.78892152e+02  1.37434473e+03  5.76319081e+01  9.37692913e+01  2.80000000e-02]"
48.0,0,5,890.8,499.3,878.3,476.6,eye,eye,"[ 3.58096148e+01 -2.93594216e+01  7.77932892e+01  1.91482112e+01  1.14577363e+01  4.49943721e+01  1.99937213e+04 -7.30722310e+02  3.57067035e+04  6.78522519e+03  1.57498992e+02  1.36159737e+04 -1.51160147e+02  2.59140888e+01  2.30000000e-02]"
48.0,0,6,883.8,476.1,835.6,449.9,eye,out,"[ 3.18325741e+01 -2.75394716e+01  6.92000258e+01  1.66868488e+01  1.04658588e+01  4.00703343e+01  2.18617504e+04 -7.59886301e+02  3.47644406e+04  7.23816626e+03  1.65033912e+02  1.35040869e+04 -1.18527108e+02  5.48605505e+01  3.10000000e-02]"
48.0,0,7,828.2,449.9,814.3,444.6,out,out,"[ 4.28664854e+01 -3.14003919e+01  9.10688047e+01  2.61252436e+01  1.31924697e+01  5.07346649e+01  2.08473682e+04 -7.37737085e+02  3.09047781e+04  7.12457055e+03  1.58845939e+02  1.18066786e+04 -1.10871597e+02  1.48761554e+01  1.70000000e-02]"
48.0,0,8,817.7,444.9,921.9,452.7,out,out,"[ 2.79649559e-01 -1.56986925e-01  2.15068434e-01  1.79724369e-01  1.36742434e-01  1.79356442e-01  1.23369199e+04  3.25679626e+02  1.37360039e+02  4.36184238e+03  1.39131146e+02  4.78421973e+01  8.57190486e+01  1.04491531e+02  3.40000000e-02]"
48.0,0,9,915.6,457.2,937.3,451.2,out,out,"[ 4.30135290e+01 -3.16235411e+01  1.17328805e+02  2.53151794e+01  1.36865143e+01  6.44865406e+01  1.98747384e+04 -7.22767461e+02  2.87101099e+04  6.22521022e+03  1.48312201e+02  1.06235850e+04  1.05455999e+02  2.25142177e+01  2.00000000e-02]"
48.0,0,10,948.8,454.2,866.7,483.6,out,eye,"[ 5.79319844e+00 -2.15815090e+00  1.14939567e+00  1.07154389e+00  4.98494276e-01  4.72973830e-01  2.10138110e+03 -6.42710419e+01  5.96166453e+02  9.64772517e+02  8.13905577e+01  2.74722036e+02 -7.02975603e+01  8.72053324e+01  2.00000000e-02]"
48.0,0,11,854.7,497.7,822.9,464.6,eye,out,"[ 3.03009867e+01 -2.59503286e+01  8.42116850e+01  1.62898270e+01  1.09180373e+01  4.94272704e+01  1.27640053e+04 -5.86617351e+02  3.45971759e+04  4.25704209e+03  1.28160303e+02  1.26002756e+04 -1.36147528e+02  4.59004357e+01  3.30000000e-02]"
48.0,0,12,830.4,459.6,954.3,472.0,out,eye,"[ 3.47243424e-01 -2.15209184e-01  3.89887228e-01  2.38731317e-01  2.01296608e-01  3.35806710e-01  2.01808874e+04  4.68565601e+02  6.82084334e+02  7.51121097e+03  2.22054942e+02  2.48902844e+02  8.42848283e+01  1.24518954e+02  3.10000000e-02]"
48.0,0,13,941.1,472.6,957.9,460.7,eye,out,"[ 4.50088008e+01 -3.19167257e+01  1.30812379e+02  2.88570183e+01  1.42954050e+01  6.45419414e+01  1.99086944e+04 -7.18210297e+02  2.85480613e+04  6.43726513e+03  1.52340213e+02  1.11679002e+04  1.25311213e+02  2.05876176e+01  1.60000000e-02]"
48.0,0,14,959.2,458.3,860.3,552.9,out,out,"[ 5.99024168e+00 -4.50393592e+00  3.64065786e+00  1.04848500e+00  7.21528798e-01  9.49444154e-01  1.99166162e+03 -1.21201976e+02  1.39060001e+03  7.71293886e+02  8.77449156e+01  5.39277154e+02 -4.62730300e+01  1.36858942e+02  3.50000000e-02]"
48.0,0,15,871.4,535.8,862.3,466.7,eye,out,"[ 1.17081559e+03 -7.95612067e-02  2.68541108e+00  1.92978883e+02  1.37334581e+00  2.24069584e+00  1.70816817e+04  2.57406625e-01  9.48379232e+02  6.77036564e+03  7.82107710e+00  5.75275030e+02 -1.72497708e+02  6.96966283e+01  1.08000000e-01]"
48.0,0,16,871.5,455.7,1025.1,924.6,out,out,"[ 1.48737807e-01 -9.98961864e-02  1.65363647e-01  8.71442499e-02  8.17459482e-02  1.43841468e-01  8.06371736e+03  4.64208109e+02  4.07581992e+04  2.44768227e+03  1.18282005e+02  1.41335471e+04  1.81375114e+01  4.93416832e+02  9.80000000e-02]"
48.0,0,17,1024.5,904.9,1035.1,953.9,out,out,"[ 1.76285564e+01 -1.82698522e+01  2.93387407e+01  8.03539089e+00  4.80571106e+00  6.21552795e+00  4.41126461e+03 -3.47483610e+02  4.95940030e+04  1.53487003e+03  8.11415987e+01  1.77171388e+04  1.22065069e+01  5.01334220e+01  2.80000000e-02]"
48.0,0,18,1037.7,968.0,1025.8,637.5,out,mouth_nose,"[ 5.25654604e-02  1.30388819e-02  5.66040189e+00  4.47046321e-02  1.95824213e-01  1.72001827e+00  5.71442800e+02  4.40557724e+01  1.78635616e+04  1.50088186e+02  5.39673497e+01  5.81073179e+03 -1.77937896e+02  3.30714167e+02  8.80000000e-02]"
48.0,0,19,1014.5,656.1,1022.3,951.1,mouth_nose,out,"[ 3.51206362e-01 -2.92307886e-01  3.77942769e-01  1.33697039e-01  1.16911245e-01  2.23431611e-01  1.06121094e+03  1.54310565e+02  3.25175126e+04  2.88734855e+02  5.97596666e+01  1.06347127e+04  1.51458637e+00  2.95103101e+02  8.90000000e-02]"
48.0,1,0,891.8,457.2,903.3,419.9,out,out,"[ 4.04329602e+01 -3.10181438e+01  1.06934208e+02  2.19485299e+01  1.27961199e+01  5.76908258e+01  2.05296549e+04 -7.28656651e+02  3.12319306e+04  7.00117812e+03  1.60197609e+02  1.18550691e+04  1.62864894e+02  3.90325505e+01  2.10000000e-02]"
48.0,1,1,894.6,427.0,780.8,966.5,out,out,"[ 5.44445344e+00 -1.61424875e+00  5.98600901e-01  1.54455038e+00  5.64970911e-01  3.36537650e-01  4.36933997e+03 -3.11550957e+02  4.89060333e+04  1.54420802e+03  9.91681153e+01  1.81615643e+04 -1.19111360e+01  5.51371644e+02  3.00000000e-02]"
48.0,1,2,857.5,863.5,900.9,447.3,out,out,"[ 2.92097969e-02 -4.36721972e-02  8.04973179e+00  2.18989774e-02  2.12965188e-01  2.68723411e+00  8.85266691e+02 -4.28389340e+01  5.39458645e+03  2.34288537e+02  4.83743032e+01  1.95521413e+03  1.74046895e+02  4.18456688e+02  9.30000000e-02]"
48.0,1,3,895.4,412.1,893.9,419.0,out,out,"[ 4.20745145e+01 -3.06283095e+01  1.36908867e+02  2.64958152e+01  1.37253121e+01  6.48708638e+01  1.71787296e+04 -6.59671179e+02  2.39991772e+04  5.53298760e+03  1.37413653e+02  9.24541362e+03 -1.22647737e+01  7.06116138e+00  2.10000000e-02]"
48.0,1,4,885.3,437.3,977.8,402.2,out,out,"[ 3.41377017e-01 -1.04943651e+00  5.43825123e+00  2.32896262e-01  4.77480709e-01  2.41753712e+00  1.23158447e+04 -2.78109261e+02  6.65816114e+03  4.61883930e+03  2.18737484e+02  2.49121632e+03  1.10779723e+02  9.89356356e+01  3.10000000e-02]"
48.0,1,5,967.2,416.2,966.4,423.2,out,out,"[ 2.68853256e+01 -2.57724639e+01  9.31377720e+01  1.26873834e+01  9.53569434e+00  5.37701844e+01  1.99641745e+04 -7.23694806e+02  3.19201958e+04  6.49612633e+03  1.48974487e+02  1.21427396e+04 -6.51980175e+00  7.04556598e+00  5.10000000e-02]"
48.0,1,6,966.9,432.5,966.8,418.5,out,out,"[ 3.42635034e+01 -2.84107547e+01  1.08201167e+02  1.89687661e+01  1.17089770e+01  5.83251000e+01  1.91338582e+04 -7.01089511e+02  2.78500072e+04  6.25447073e+03  1.46356504e+02  1.05750429e+04 -1.79590751e+02  1.40003571e+01  3.00000000e-02]"
48.0,1,7,968.0,413.9,947.6,421.8,out,out,"[ 4.86774605e+01 -3.11861204e+01  2.32655744e+02  3.77481378e+01  1.71120051e+01  9.61407751e+01  1.53556832e+04 -6.15661387e+02  2.07899884e+04  4.95528198e+03  1.29175353e+02  8.19116128e+03 -6.88308612e+01  2.18762428e+01  1.60000000e-02]"
48.0,1,8,933.6,439.2,935.2,434.5,out,out,"[ 7.18948065e+01 -3.20488896e+01  3.66900071e+02  6.43203875e+01  2.40294271e+01  1.17726148e+02  1.13785624e+04 -5.17107506e+02  2.16665113e+04  3.96575440e+03  1.15464755e+02  8.23379461e+03  1.61200115e+02  4.96487663e+00  7.00000000e-03]"
48.0,1,9,939.6,430.1,911.7,438.7,out,out,"[ 4.95203131e+01 -3.13875451e+01  2.38386202e+02  3.68509546e+01  1.71747608e+01  8.69228713e+01  1.30397929e+04 -5.68926078e+02  2.29749057e+04  4.43462890e+03  1.23523026e+02  8.85069770e+03 -7.28684139e+01  2.91953763e+01  1.50000000e-02]"
48.0,1,10,893.8,448.4,901.3,430.6,out,out,"[ 4.54123064e+01 -2.95399137e+01  2.04227282e+02  3.61205734e+01  1.70245619e+01  8.54526155e+01  1.04544435e+04 -5.10636788e+02  2.34331176e+04  3.49061186e+03  1.15208095e+02  9.00171609e+03  1.57151957e+02  1.93155378e+01  1.40000000e-02]"
48.0,1,11,891.9,419.1,888.8,436.6,out,out,"[ 5.35063712e+01 -3.03102418e+01  2.63651989e+02  4.60662537e+01  1.99851181e+01  9.57708098e+01  1.09491462e+04 -5.11470088e+02  2.18806737e+04  3.69761467e+03  1.16811601e+02  8.39091717e+03 -1.00453304e+01  1.77724506e+01  1.00000000e-02]"
48.0,1,12,883.4,450.8,801.3,436.3,out,out,"[ 2.70748728e+00  3.39607129e-01  2.92496148e-01  4.29924457e-01  1.45204197e-01  1.87098158e-01  1.19454800e+03  9.42532175e+01  1.50587101e+02  4.24212061e+02  5.22367845e+01  5.39451022e+01 -1.00015942e+02  8.33706183e+01  3.50000000e-02]"
48.0,1,13,809.8,443.2,691.5,969.5,out,out,"[ 5.05007197e+00 -8.68844150e-01  2.50766938e-01  1.40532411e+00  5.03123422e-01  1.99154797e-01  5.76304542e+03 -3.85204507e+02  4.96268879e+04  2.05848441e+03  1.07460004e+02  1.84556873e+04 -1.26682076e+01  5.39431719e+02  3.30000000e-02]"
48.0,1,14,745.1,882.0,800.0,418.1,out,out,"[ 2.77375172e-02 -8.75818222e-03  1.11532350e+01  2.15650499e-02  2.63677641e-01  4.62638076e+00  1.52145611e+03 -1.22038434e+02  7.84115622e+03  4.64546073e+02  5.47045150e+01  3.19085119e+03  1.73250753e+02  4.67137260e+02  7.10000000e-02]"
48.0,1,15,816.0,420.7,814.8,426.3,out,out,"[ 6.10249569e+01 -3.26476407e+01  3.09418057e+02  5.37626459e+01  2.14886242e+01  1.01427131e+02  1.05774177e+04 -5.09287897e+02  2.34508274e+04  3.59328277e+03  1.17111333e+02  8.98827394e+03 -1.20947571e+01  5.72712843e+00  9.00000000e-03]"
48.0,2,0,889.7,466.3,843.4,454.4,out,out,"[ 3.24608138e+00  5.15458644e-01  6.33603387e-01  5.29130969e-01  2.77235465e-01  4.47495020e-01  7.63295944e+02  1.54537328e+01  5.52839858e+02  3.86580813e+02  6.03719101e+01  2.70169446e+02 -1.04414140e+02  4.78048115e+01  1.60000000e-02]"
48.0,2,1,830.1,446.9,834.0,423.5,out,out,"[ 4.46306789e+01 -3.01532590e+01  1.36842976e+02  3.25818901e+01  1.59752840e+01  6.24359988e+01  1.30103352e+04 -5.77853087e+02  2.54390788e+04  4.42323946e+03  1.29301369e+02  1.00048868e+04  1.70537678e+02  2.37227739e+01  1.40000000e-02]"
48.0,2,2,828.2,420.6,874.6,562.7,out,mouth_nose,"[ 1.31872341e+03 -3.03499778e-01  2.08429174e+00  2.04850137e+02  1.44256896e+00  1.74897483e+00  1.61383201e+04 -1.77022638e+00  9.46883406e+02  6.40349675e+03  7.68177178e+00  5.65451979e+02  1.80834454e+01  1.49483678e+02  9.70000000e-02]"
48.0,2,3,892.3,445.1,825.6,387.1,out,out,"[ 2.12874042e+00  1.30274327e+00  2.25462864e+00  3.46299546e-01  2.63758984e-01  7.76848339e-01  1.01048296e+03  8.37865164e+01  1.04554547e+03  4.09732339e+02  7.37281294e+01  3.90914327e+02 -1.31009087e+02  8.83905538e+01  2.90000000e-02]"
48.0,2,4,830.6,393.0,827.1,406.2,out,out,"[ 6.48646727e+01 -3.51162335e+01  1.83929203e+02  5.47957132e+01  2.09710258e+01  7.74350073e+01  1.68801166e+04 -6.44397795e+02  2.35810167e+04  5.71496168e+03  1.39428117e+02  8.99612342e+03 -1.48503383e+01  1.36561342e+01  9.00000000e-03]"
48.0,2,5,827.3,425.8,901.3,492.9,out,eye,"[ 1.11920648e-01 -3.20433619e-02  2.80179681e-01  9.91457536e-02  7.90607818e-02  2.40422915e-01  9.42622489e+03  4.01471751e+02  1.47212350e+04  3.59945028e+03  1.96061976e+02  5.50365808e+03  4.77996187e+01  9.98919917e+01  3.00000000e-02]"
