Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
19.0,0,0,937.8,501.0,904.6,505.9,eye,eye,"[ 2.41598648e+01 -2.04014277e+01  2.91089250e+01  1.36459955e+01  6.91583362e+00  9.84821168e+00  4.78657624e+04 -8.77570995e+02  1.37774683e+04  1.70640260e+04  1.70618893e+02  5.76012907e+03 -8.16043060e+01  3.35596484e+01  1.70000000e-02]"
19.0,0,1,901.9,516.1,911.2,587.5,eye,mouth_nose,"[ 1.38817990e-01 -8.57756546e-02  3.97134779e-01  9.69401074e-02  1.19377116e-01  3.42347964e-01  9.46004965e+02  1.48046066e+02  2.48031076e+04  4.65583233e+02  7.30927581e+01  1.06339273e+04  7.42111593e+00  7.20031249e+01  1.50000000e-02]"
19.0,0,2,912.0,609.1,908.7,625.3,mouth_nose,mouth_nose,"[ 2.26831987e+01 -2.05786495e+01  2.28688040e+01  7.92027746e+00  4.76595504e+00  6.66627610e+00  4.85839691e+04 -8.76108247e+02  1.36454490e+04  1.73676026e+04  1.76530434e+02  5.75193383e+03 -1.15138312e+01  1.65326949e+01  1.30000000e-02]"
19.0,0,3,906.5,630.2,924.9,593.0,mouth_nose,mouth_nose,"[ 1.84619040e+01 -1.94365836e+01  3.01773858e+01  4.26889165e+00  3.46802461e+00  6.68199902e+00  4.61929099e+04 -9.42592465e+02  1.78710320e+04  1.67622784e+04  1.92172485e+02  7.29329970e+03  1.53681912e+02  4.15018072e+01  2.50000000e-02]"
19.0,0,4,908.8,597.5,934.7,590.0,mouth_nose,mouth_nose,"[ 1.40627619e+03 -1.60607945e-01  2.81501009e+00  2.08443376e+02  1.41441053e+00  2.33103251e+00  1.72471429e+04 -1.78988495e+00  9.14983909e+02  6.80153607e+03  7.99687096e+00  5.67111211e+02  1.06149710e+02  2.69640501e+01  9.00000000e-02]"
19.0,0,5,914.8,624.1,965.9,492.4,mouth_nose,eye,"[ 9.91999250e+00 -1.13318172e+01  2.34932308e+01  3.67317855e+00  3.50092519e+00  7.47809977e+00  4.73358460e+04 -9.84215453e+02  2.23206709e+04  1.63544480e+04  1.92820071e+02  8.48018384e+03  1.58793596e+02  1.41266061e+02  3.60000000e-02]"
19.0,0,6,959.1,491.3,907.9,640.4,eye,mouth_nose,"[ 4.79344215e+00 -4.36812173e+00  4.31640915e+00  8.77525244e-01  6.49452274e-01  9.86580553e-01  2.03100219e+03 -7.43608670e+01  1.19945477e+04  8.19198681e+02  9.67252494e+01  4.45776561e+03 -1.89521484e+01  1.57645964e+02  3.30000000e-02]"
19.0,0,7,905.7,646.9,911.0,633.4,mouth_nose,mouth_nose,"[ 3.20367302e+01 -2.66650232e+01  3.77268415e+01  1.26649585e+01  7.27068078e+00  1.15224166e+01  4.32614351e+04 -9.78864771e+02  2.50163301e+04  1.44804743e+04  1.94748462e+02  9.83783407e+03  1.58565396e+02  1.45031031e+01  1.10000000e-02]"
19.0,0,8,911.6,636.9,929.5,633.1,mouth_nose,mouth_nose,"[ 3.44512455e+01 -2.90842392e+01  4.02856134e+01  1.11092430e+01  6.57559804e+00  1.18448460e+01  4.04892036e+04 -9.67223812e+02  2.76003507e+04  1.39686045e+04  2.00510430e+02  1.06049028e+04  1.01985414e+02  1.82989071e+01  1.30000000e-02]"
19.0,0,9,934.6,635.9,898.4,452.8,mouth_nose,out,"[ 3.95023365e-01  6.13498904e-01  5.84405942e+00  1.58628930e-01  3.08016194e-01  2.00424740e+00  9.69462257e+02  1.47413645e+02  1.88291099e+04  3.03732284e+02  5.85813501e+01  6.25757992e+03 -1.68816495e+02  1.86644180e+02  5.60000000e-02]"
19.0,0,10,895.7,459.3,861.4,472.6,out,eye,"[ 4.51829968e+00 -1.88596721e+00  1.19819021e+00  8.83044592e-01  4.90302817e-01  5.24636799e-01  1.37736095e+03 -1.26260731e+02  4.35506596e+02  7.42910655e+02  7.56197055e+01  2.33071984e+02 -6.88059435e+01  3.67883134e+01  1.20000000e-02]"
19.0,0,11,857.1,489.1,906.5,649.6,eye,mouth_nose,"[ 1.40704184e-01 -8.59196322e-02  3.00985856e-01  9.91249837e-02  1.09073324e-01  2.65010480e-01  4.81676180e+03  3.51338471e+02  4.03781557e+04  1.81253033e+03  1.29521508e+02  1.53466744e+04  1.71077459e+01  1.67930372e+02  2.60000000e-02]"
19.0,0,12,911.7,648.5,946.8,520.2,mouth_nose,eye,"[ 1.01610764e-01 -2.55209306e-01  7.06027731e+00  8.67549330e-02  3.45113076e-01  3.01119644e+00  2.57312758e+03 -2.18892652e+02  1.24340017e+04  9.47429267e+02  9.62173729e+01  4.82709933e+03  1.64699546e+02  1.33014661e+02  3.50000000e-02]"
19.0,0,13,944.6,524.8,922.9,556.4,eye,mouth_nose,"[ 3.64718687e+00 -1.81719896e+00  1.48196695e+00  6.89584472e-01  5.78321607e-01  7.96454000e-01  4.62921106e+02 -4.32705121e+01  7.42184761e+03  2.79087567e+02  5.13372787e+01  3.99721869e+03 -3.44777312e+01  3.83334058e+01  1.00000000e-02]"
19.0,0,14,926.1,568.4,923.4,550.8,mouth_nose,mouth_nose,"[ 3.45848513e+01 -2.80189442e+01  4.68765460e+01  1.83785796e+01  9.58278904e+00  1.77829625e+01  4.04535713e+04 -9.70127789e+02  2.64603720e+04  1.42907700e+04  2.03008567e+02  1.00236387e+04 -1.71278302e+02  1.78058979e+01  1.40000000e-02]"
19.0,0,15,921.2,560.0,851.3,958.4,mouth_nose,out,"[ 5.55342296e+00 -3.85285950e+00  2.83708994e+00  1.23966701e+00  5.90237429e-01  5.92235640e-01  3.81891803e+03 -1.80049668e+02  4.70375015e+04  1.29623530e+03  1.13819096e+02  1.67177277e+04 -9.95136100e+00  4.04485562e+02  5.00000000e-02]"
19.0,0,16,853.6,963.9,608.6,892.8,out,out,"[ 6.31642293e+00  1.32915791e+00  7.19303110e-01  1.50515031e+00  4.23586607e-01  3.76671425e-01  1.42669377e+04  4.55722470e+02  3.18573470e+03  5.02666188e+03  1.55188530e+02  1.06193726e+03 -1.06182944e+02  2.55108232e+02  4.60000000e-02]"
