Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
1.0,0,0,923.5,514.0,918.7,512.1,eye,eye,"[ 1.45191297e+01 -1.19451544e+01  1.83331341e+01  5.71514655e+00  3.42815536e+00  6.49696718e+00  4.99193044e+04 -7.36909906e+02  7.83135964e+03  1.82397036e+04  1.45938516e+02  3.44856055e+03 -1.11595310e+02  5.16236380e+00  2.00000000e-02]"
1.0,0,1,921.5,518.8,1178.7,804.4,eye,out,"[ 1.02474899e+01 -1.06826651e+01  1.14035382e+01  2.30093352e+00  1.46965951e+00  1.73731182e+00  4.72745102e+04 -6.17672075e+02  2.30247220e+04  1.67998365e+04  1.27388759e+02  8.79895208e+03  4.20049415e+01  3.84342556e+02  4.60000000e-02]"
1.0,0,2,1186.8,828.1,932.7,501.9,out,eye,"[ 1.97715728e+00  1.66674303e+00  3.84740945e+00  5.06081297e-01  3.41487526e-01  1.02423379e+00  3.11379162e+04  6.42505088e+02  1.02449712e+04  9.62867854e+03  2.26491175e+02  3.14868389e+03 -1.42082481e+02  4.13489117e+02  8.60000000e-02]"
1.0,0,3,938.5,508.0,924.1,512.5,eye,eye,"[ 2.70767048e+01 -2.19309318e+01  2.97753343e+01  1.64225429e+01  8.16253548e+00  1.10867687e+01  4.62469634e+04 -8.60024197e+02  1.33177434e+04  1.62697107e+04  1.65299314e+02  5.35389568e+03 -7.26459754e+01  1.50867492e+01  1.30000000e-02]"
1.0,0,4,921.8,518.7,865.4,502.2,eye,eye,"[ 2.83333323e+00  5.34919763e-01  6.24510755e-01  5.93732683e-01  2.47389124e-01  4.10142727e-01  2.65640436e+03  1.70186787e+02  5.45788898e+02  1.14062902e+03  1.00070906e+02  2.34010494e+02 -1.06307005e+02  5.87640196e+01  2.10000000e-02]"
1.0,0,5,864.5,500.1,921.2,616.7,eye,mouth_nose,"[ 1.83607991e-01 -7.21884284e-02  2.76105686e-01  1.39800272e-01  1.18928823e-01  2.44371557e-01  8.18072432e+03  4.51336981e+02  2.53699654e+04  3.21619273e+03  1.77667769e+02  9.74293291e+03  2.59326295e+01  1.29655119e+02  2.40000000e-02]"
1.0,0,6,925.5,620.6,884.4,569.4,mouth_nose,mouth_nose,"[ 1.23786214e+00  8.72151898e-01  2.14424161e+00  3.61564045e-01  2.12234347e-01  5.37657457e-01  1.87147989e+03  1.63620227e+02  5.91686605e+02  7.38806255e+02  8.27505496e+01  2.52799997e+02 -1.41244790e+02  6.56555405e+01  2.60000000e-02]"
1.0,0,7,888.0,563.1,852.8,497.4,mouth_nose,eye,"[ 8.68579707e-01  7.78694118e-01  2.78956600e+00  2.14972601e-01  2.37655763e-01  9.20956854e-01  7.21457656e+02  1.12920534e+02  2.24817544e+03  2.69781836e+02  6.12046047e+01  8.70011513e+02 -1.51818990e+02  7.45354278e+01  3.10000000e-02]"
1.0,0,8,845.0,503.7,918.5,615.0,eye,mouth_nose,"[ 1.61266328e-01 -4.65036644e-02  2.15692788e-01  1.27879389e-01  9.79188883e-02  1.89712366e-01  1.24979305e+04  5.53729401e+02  2.32728290e+04  4.83794975e+03  2.08568705e+02  9.01357003e+03  3.34398692e+01  1.33378934e+02  2.40000000e-02]"
1.0,0,9,927.7,629.5,1058.6,598.3,mouth_nose,out,"[ 4.22192528e-01 -1.20556664e+00  4.38330060e+00  2.02867069e-01  3.32177278e-01  1.03125178e+00  3.50330056e+04  4.56420474e+01  1.24762430e+03  1.38392146e+04  2.50022491e+02  5.49692399e+02  1.03406304e+02  1.34566898e+02  2.20000000e-02]"
1.0,0,10,1056.7,591.1,867.0,510.6,out,eye,"[ 5.22028989e+00  1.80452490e+00  1.42079018e+00  1.07647178e+00  3.42508114e-01  5.01212489e-01  1.01415816e+04  2.21168313e+01  8.64106803e+02  3.91626800e+03  1.34761120e+02  3.48150016e+02 -1.12994146e+02  2.06073628e+02  3.30000000e-02]"
1.0,0,11,858.8,501.7,845.0,497.3,eye,eye,"[ 2.48110284e+01 -1.86084662e+01  2.58985052e+01  1.40303715e+01  6.54772144e+00  8.92696738e+00  4.83293298e+04 -8.22001838e+02  1.11336346e+04  1.74281732e+04  1.62514075e+02  4.76421538e+03 -1.07684392e+02  1.44844744e+01  1.20000000e-02]"
1.0,0,12,846.5,492.5,836.4,488.8,eye,eye,"[ 2.04809399e+01 -1.45886636e+01  1.99562585e+01  1.27814857e+01  5.61310392e+00  7.33199113e+00  4.83285359e+04 -7.71127181e+02  9.28459201e+03  1.68847386e+04  1.47689851e+02  4.10925139e+03 -1.10119633e+02  1.07563934e+01  1.20000000e-02]"
1.0,0,13,838.1,495.0,925.0,624.1,eye,mouth_nose,"[ 1.54707993e-01 -5.26390205e-02  1.96611095e-01  1.17138859e-01  9.45425624e-02  1.72591140e-01  1.09970114e+04  5.24199638e+02  1.86853195e+04  3.76862466e+03  1.76816883e+02  6.82716805e+03  3.39453491e+01  1.55622685e+02  3.70000000e-02]"
1.0,0,14,919.9,637.1,617.7,967.2,mouth_nose,out,"[ 1.32732772e+01 -3.56396444e+00  1.11399384e+00  5.56256603e+00  1.15013705e+00  5.01913870e-01  1.56542133e+04 -4.98852901e+02  3.23908870e+04  6.10243083e+03  1.65840537e+02  1.12466631e+04 -4.24734841e+01  4.47538658e+02  4.50000000e-02]"
1.0,0,15,618.0,972.8,608.0,922.8,out,out,"[ 3.80944874e-01  5.10992544e-02  2.10247830e+00  3.34552582e-01  2.44835758e-01  5.01570896e-01  9.54655874e+02  1.29826621e+02  1.28444991e+03  3.89327174e+02  6.99203381e+01  5.37048058e+02 -1.68690068e+02  5.09901951e+01  2.50000000e-02]"
1.0,0,16,606.2,930.3,951.3,901.9,out,out,"[ 2.53445955e+00 -3.16556443e+00  4.25044332e+00  7.26584388e-01  5.39832948e-01  7.45531676e-01  4.51480829e+04  5.54386451e+02  2.37687732e+03  1.63033826e+04  1.92624315e+02  9.55238871e+02  9.47045541e+01  3.46266617e+02  3.10000000e-02]"
1.0,0,17,961.8,901.5,1062.9,896.6,out,out,"[ 5.23299518e-01 -6.99598644e-01  1.19974757e+00  2.23655248e-01  1.94765870e-01  3.85140684e-01  3.60522054e+04  3.06296795e+02  2.57925870e+02  1.47370325e+04  2.21039387e+02  1.28638617e+02  9.27747755e+01  1.01218674e+02  1.70000000e-02]"
