Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
43.0,0,0,918.2,691.8,947.7,535.6,mouth_nose,eye,"[ 7.90550148e-02 -1.48944320e-01  8.54918580e+00  6.97757824e-02  3.21421747e-01  3.24216477e+00  3.20681645e+03 -2.51631503e+02  1.52696583e+04  1.17633217e+03  1.07661511e+02  5.75346850e+03  1.69305063e+02  1.58961285e+02  3.30000000e-02]"
43.0,0,1,937.4,530.5,940.4,506.7,eye,eye,"[ 2.72002173e+01 -2.57084443e+01  4.40118812e+01  9.52631670e+00  6.57892537e+00  1.52751353e+01  4.50877693e+04 -9.94779821e+02  2.39367688e+04  1.55527768e+04  2.00349666e+02  9.29169675e+03  1.72815733e+02  2.39883305e+01  2.40000000e-02]"
43.0,0,2,931.6,507.1,982.4,502.3,eye,eye,"[ 2.91378123e-01 -5.10488948e-01  1.91347714e+00  2.08656134e-01  2.89475624e-01  1.10890061e+00  2.54141548e+04  2.18583823e+02  6.29892299e+02  1.22555235e+04  2.55670630e+02  3.48661385e+02  9.53977488e+01  5.10262677e+01  1.10000000e-02]"
43.0,0,3,989.5,503.6,894.7,502.6,eye,eye,"[ 8.02617571e+00  1.57970435e-03  1.41518616e-01  1.93078684e+00  2.79972426e-01  1.25033230e-01  6.44708598e+03  3.62982079e+00  1.41612612e+02  3.14422653e+03  8.78022435e+01  8.45307011e+01 -9.06043634e+01  9.48052741e+01  1.30000000e-02]"
43.0,0,4,883.6,503.6,946.9,584.3,eye,mouth_nose,"[ 2.37340739e-01 -5.62912198e-02  2.88833269e-01  1.98658718e-01  1.26411859e-01  2.45340627e-01  2.32818956e+04  7.57788817e+02  3.01160244e+04  9.53416955e+03  2.87216470e+02  1.26435635e+04  3.81101625e+01  1.02564029e+02  1.40000000e-02]"
43.0,0,5,945.5,600.3,937.4,636.3,mouth_nose,mouth_nose,"[ 1.81259348e+00 -8.85703486e-01  1.08079643e+00  4.02231702e-01  3.59051677e-01  6.70447489e-01  2.01983900e+02 -1.21621565e+01  2.25428326e+04  1.36059708e+02  3.54725175e+01  1.17722279e+04 -1.26803835e+01  3.69000000e+01  8.00000000e-03]"
43.0,0,6,932.5,646.9,927.2,533.3,mouth_nose,eye,"[ 1.01342982e-01  3.61692601e-01  8.91929409e+00  6.23966505e-02  2.21690345e-01  2.99769952e+00  2.91690609e+02  1.36122327e-03  3.96033050e+03  1.33394319e+02  3.85205847e+01  1.76584694e+03 -1.77328806e+02  1.13723568e+02  2.00000000e-02]"
43.0,0,7,926.2,529.8,942.3,647.6,eye,mouth_nose,"[ 9.59722875e-02 -7.43638802e-02  3.32612627e-01  6.68897365e-02  9.22419031e-02  2.88583121e-01  1.05616183e+03  1.63660644e+02  3.95625506e+04  4.01200939e+02  6.65325564e+01  1.39936949e+04  7.78252903e+00  1.18895122e+02  3.00000000e-02]"
43.0,0,8,944.7,650.7,940.6,628.2,mouth_nose,mouth_nose,"[ 8.02101411e+00 -4.07467521e+00  7.82487025e+00  2.72279520e+00  1.82873782e+00  2.36511207e+00  5.06057118e+04 -2.93926713e+02  1.88563729e+03  1.86938809e+04  8.44277817e+01  9.61226731e+02 -1.69672746e+02  2.28705050e+01  1.60000000e-02]"
43.0,0,9,938.1,632.5,958.3,636.9,mouth_nose,mouth_nose,"[ 1.34621853e+01 -1.34374811e+01  1.72415470e+01  3.95180736e+00  2.89699120e+00  5.25016882e+00  4.89028005e+04 -6.90320200e+02  6.68099545e+03  1.72362362e+04  1.33674989e+02  3.03381551e+03  7.77116768e+01  2.06736547e+01  1.40000000e-02]"
