Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
12.0,0,0,851.2,350.4,909.0,471.0,out,out,"[ 3.51464946e-01 -3.21577603e-01  6.94731346e-01  2.07276133e-01  2.43745855e-01  5.93417450e-01  6.61939076e+03  4.08778767e+02  1.69036872e+04  2.21670775e+03  1.43981126e+02  5.85436787e+03  2.56070171e+01  1.33735560e+02  4.30000000e-02]"
12.0,0,1,912.2,479.6,888.8,493.9,eye,eye,"[ 2.51881127e+00 -1.45023319e+00  1.12975639e+00  5.61084412e-01  4.16240759e-01  5.07518419e-01  4.86742078e+03 -1.04208617e+02  1.85631199e+02  2.19389320e+03  1.43929475e+02  8.38039831e+01 -5.85704344e+01  2.74235300e+01  1.90000000e-02]"
12.0,0,2,889.1,496.1,903.0,497.0,eye,eye,"[1.60903166e+01 9.43410291e-01 9.85367040e-01 8.70267125e+00 1.05259376e+00 7.94077281e-01 4.98142678e+04 8.77465129e+02 1.32793622e+04 1.80605057e+04 1.74458967e+02 5.43805934e+03 8.62953726e+01 1.39291062e+01 1.10000000e-02]"
12.0,0,3,894.1,498.7,980.1,488.1,eye,eye,"[2.54910648e+00 2.34485374e-01 1.44016356e+00 1.06860070e+00 5.34206256e-01 8.67490939e-01 4.82905134e+04 9.18690700e+02 1.59110689e+04 1.71735190e+04 1.80158330e+02 6.52151515e+03 9.70265983e+01 8.66507934e+01 3.30000000e-02]"
12.0,0,4,971.3,488.6,892.6,512.9,eye,eye,"[ 3.66718059e+00 -1.23432670e+00  7.65557659e-01  8.39032503e-01  3.57483711e-01  3.81317303e-01  8.98761050e+03 -3.79623670e+02  6.22552898e+02  3.40390472e+03  1.38334409e+02  2.31008394e+02 -7.28410135e+01  8.23661338e+01  3.10000000e-02]"
12.0,0,5,891.8,515.6,963.2,482.7,eye,eye,"[ 2.84371272e-01 -7.87587603e-01  3.27909894e+00  1.67324636e-01  2.82460148e-01  1.08168337e+00  9.13785733e+03 -3.95298915e+02  1.52191356e+03  3.17832897e+03  1.52119119e+02  5.51324932e+02  1.14739509e+02  7.86153293e+01  3.60000000e-02]"
12.0,0,6,959.1,482.7,974.8,482.0,eye,eye,"[1.85427555e+01 4.00565928e-01 1.13788117e+00 1.26403245e+01 1.05470775e+00 8.75322275e-01 4.97172906e+04 7.70242645e+02 8.89485272e+03 1.75993716e+04 1.45375614e+02 3.78395940e+03 9.25528981e+01 1.57155973e+01 1.10000000e-02]"
12.0,0,7,965.3,480.5,913.0,480.5,eye,eye,"[ 4.97244763e+00 -5.87905608e-02  1.66810019e-01  9.56458668e-01  2.10955457e-01  1.45753172e-01  2.10393783e+03 -2.51107499e+01  1.20839766e+02  1.18691000e+03  6.67385578e+01  6.99692676e+01 -9.00000000e+01  5.23000000e+01  1.20000000e-02]"
12.0,0,8,908.9,485.6,897.5,507.0,eye,eye,"[ 1.17280699e+01 -1.47816960e-01  3.57032345e-01  4.47879672e+00  6.49500273e-01  2.83638723e-01  4.75994167e+04  8.59902766e+02  1.29148181e+04  1.63789914e+04  1.61105172e+02  5.44629396e+03 -2.80446869e+01  2.42470617e+01  2.00000000e-02]"
12.0,0,9,900.7,502.1,980.6,485.3,eye,eye,"[ 1.55359031e-01 -4.18300143e-01  1.58217436e+00  7.75892750e-02  1.29495977e-01  4.89672029e-01  9.98572516e+03 -2.76850911e+02  2.58128908e+02  3.46923632e+03  1.22102805e+02  8.94749724e+01  1.01874201e+02  8.16471065e+01  3.80000000e-02]"
12.0,0,10,979.5,484.3,960.5,478.8,eye,eye,"[ 1.19611182e+01 -1.88622091e-01  1.36292264e+00  4.28611250e+00  6.66820885e-01  9.42459578e-01  4.94644552e+04  7.49071343e+02  8.32646571e+03  1.76231474e+04  1.40614797e+02  3.62803075e+03 -1.06144339e+02  1.97800404e+01  2.40000000e-02]"
12.0,0,11,958.5,484.2,897.7,506.8,eye,eye,"[ 6.78633608e+00 -2.64555454e+00  1.38217294e+00  1.43480168e+00  5.64864839e-01  4.99861672e-01  2.54873852e+03 -1.49849253e+02  4.35488738e+02  1.29753910e+03  8.52183076e+01  2.34181264e+02 -6.96093698e+01  6.48644741e+01  1.30000000e-02]"
12.0,0,12,902.8,509.1,936.0,494.5,eye,eye,"[ 9.03563837e-02 -3.55542209e-01  2.57407021e+00  5.89384665e-02  1.40288002e-01  6.52532415e-01  7.83847964e+03 -3.50193045e+01  1.28544339e+02  3.70257246e+03  1.24306018e+02  6.89254231e+01  1.13737927e+02  3.62684436e+01  1.60000000e-02]"
12.0,0,13,928.3,492.9,876.2,493.1,eye,eye,"[ 5.10104635e+00 -1.03148385e-01  1.37800184e-01  1.07129181e+00  2.27486576e-01  1.17622235e-01  1.90461173e+03  2.37860905e+01  1.05348076e+02  1.07654475e+03  6.08208052e+01  6.35464625e+01 -8.97800557e+01  5.21003839e+01  1.20000000e-02]"
12.0,0,14,866.6,491.1,834.0,484.6,eye,eye,"[ 3.54193122e+00  4.51522436e-01  4.91030984e-01  7.04315747e-01  2.49454453e-01  3.56627870e-01  1.24442881e+03  8.53467272e+01  2.52083197e+02  6.92813756e+02  6.95701930e+01  1.41092074e+02 -1.01276130e+02  3.32416907e+01  1.10000000e-02]"
12.0,0,15,831.0,486.1,894.0,569.0,eye,mouth_nose,"[ 1.32937089e-01 -4.28172919e-02  1.77464966e-01  1.11057144e-01  7.90163004e-02  1.52308255e-01  7.89074369e+03  4.26969040e+02  9.59851608e+03  2.67855099e+03  1.61286852e+02  3.24310106e+03  3.72330815e+01  1.04122092e+02  4.20000000e-02]"
