Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
24.0,0,0,941.4,484.0,956.9,484.0,eye,eye,"[ 3.02890372e+01 -2.41118899e+01  3.48644487e+01  1.95563445e+01  9.39782102e+00  1.36103223e+01  4.63214977e+04 -8.91512193e+02  1.53363079e+04  1.64551359e+04  1.76019630e+02  6.03147992e+03  9.00000000e+01  1.55000000e+01  1.20000000e-02]"
24.0,0,1,949.1,488.5,907.4,478.5,eye,eye,"[ 3.12657290e+00  4.88073583e-01  6.17893724e-01  5.89280155e-01  2.59952821e-01  4.47757174e-01  1.40244644e+03  5.28416375e+01  4.29478288e+02  7.45822506e+02  7.71508213e+01  2.18677193e+02 -1.03485339e+02  4.28822807e+01  1.40000000e-02]"
24.0,0,2,884.6,472.2,876.2,464.4,eye,out,"[ 3.32561667e+01 -2.28225556e+01  3.28877476e+01  2.63598243e+01  1.14056207e+01  1.35468596e+01  4.79095066e+04 -9.00250227e+02  1.46362132e+04  1.70444360e+04  1.77292162e+02  6.12866549e+03 -1.32878904e+02  1.14629839e+01  9.00000000e-03]"
24.0,0,3,858.2,458.7,1016.3,458.5,out,out,"[ 2.66540943e-01 -3.25963433e-01  8.59144223e-01  1.50708425e-01  1.95134025e-01  5.92409062e-01  3.25914156e+04  1.65646563e+02  5.31429809e+02  1.19226309e+04  2.30164272e+02  2.10909941e+02  9.00724804e+01  1.58100127e+02  2.90000000e-02]"
24.0,0,4,1027.2,469.4,879.2,468.1,out,out,"[ 6.19646806e+00 -4.80760112e-02  2.58366950e-01  1.22601883e+00  3.54095391e-01  2.13114209e-01  4.01692626e+03 -1.11568668e+02  1.09023741e+03  1.72397281e+03  9.46692716e+01  4.47064335e+02 -9.05032608e+01  1.48005709e+02  2.60000000e-02]"
24.0,0,5,867.9,473.6,893.6,469.0,eye,out,"[ 4.09591054e+01 -3.22544601e+01  5.80366235e+01  1.73664630e+01  9.81015792e+00  2.90943874e+01  3.82834886e+04 -9.72585001e+02  3.07817576e+04  1.28749564e+04  1.96115276e+02  1.13414525e+04  1.00147818e+02  2.61084278e+01  1.60000000e-02]"
24.0,0,6,885.6,464.9,878.5,464.6,out,out,"[ 5.27665389e+01 -3.09390244e+01  6.20911215e+01  4.43779434e+01  1.73128744e+01  3.51286839e+01  3.55239316e+04 -9.27387651e+02  2.85677922e+04  1.20299554e+04  1.86955551e+02  1.10701101e+04 -9.24195092e+01  7.10633520e+00  8.00000000e-03]"
24.0,0,7,881.7,474.7,1026.9,473.0,eye,eye,"[ 2.88689464e-01 -4.19371636e-01  1.10197686e+00  1.59250660e-01  2.08698074e-01  6.86855218e-01  3.17848535e+04  2.44397908e+02  4.84820728e+02  1.21925884e+04  2.21923071e+02  1.98450288e+02  9.06707877e+01  1.45209951e+02  2.70000000e-02]"
24.0,0,8,1020.4,472.7,882.9,466.0,eye,out,"[ 3.04533988e+00  4.07878361e-02  2.00057793e-01  6.76801329e-01  1.80287997e-01  1.71877219e-01  8.54905871e+03 -3.94245200e+01  5.23361199e+02  2.77770426e+03  1.53101709e+02  1.58837613e+02 -9.27896606e+01  1.37663140e+02  5.00000000e-02]"
24.0,0,9,874.0,465.3,953.6,873.9,out,out,"[ 1.46729801e-01 -1.20009829e-01  2.27568498e-01  8.32160433e-02  9.00675138e-02  1.89370803e-01  3.18605556e+03  2.89593403e+02  4.23100868e+04  1.00818459e+03  9.16936062e+01  1.40797189e+04  1.10238069e+01  4.16281299e+02  6.60000000e-02]"
24.0,0,10,957.1,874.2,956.9,603.5,out,mouth_nose,"[ 7.51891793e-02  2.13594413e-01  1.09005827e+01  5.42358090e-02  3.22970486e-01  4.31539652e+00  1.14494978e+03 -3.20160178e+01  5.90206784e+03  4.45490549e+02  5.83176765e+01  2.65083663e+03 -1.79957668e+02  2.70700074e+02  3.10000000e-02]"
24.0,0,11,942.8,546.9,897.3,461.7,eye,out,"[ 1.17868898e+00  1.21300793e+00  4.13946068e+00  2.75611032e-01  3.23305081e-01  1.43984966e+00  1.17727057e+03  1.37969821e+02  5.62043892e+03  4.45381273e+02  8.18426643e+01  2.13621859e+03 -1.51896109e+02  9.65882498e+01  2.80000000e-02]"
24.0,1,0,942.2,487.6,953.6,484.5,eye,eye,"[ 3.41646059e+01 -2.57813181e+01  3.63592831e+01  2.26687614e+01  1.05300363e+01  1.51412492e+01  4.71234354e+04 -9.33302896e+02  1.71841334e+04  1.65627799e+04  1.84877376e+02  6.93355827e+03  1.05212583e+02  1.18139748e+01  1.10000000e-02]"
24.0,1,1,950.5,477.6,924.8,461.4,eye,out,"[ 2.52495159e+01 -2.11781367e+01  3.63392628e+01  1.49524727e+01  7.62882285e+00  1.28213645e+01  4.76253545e+04 -8.96973725e+02  1.45935146e+04  1.70364677e+04  1.77112787e+02  5.67440883e+03 -1.22225289e+02  3.03797630e+01  1.70000000e-02]"
24.0,1,2,909.3,461.4,881.7,464.3,out,out,"[ 3.27540759e+01 -2.65652216e+01  4.25114759e+01  1.71156340e+01  8.67507010e+00  1.71180117e+01  4.73407516e+04 -9.82054340e+02  2.09803065e+04  1.65817895e+04  1.90031513e+02  8.10884684e+03 -8.40018005e+01  2.77519369e+01  1.80000000e-02]"
24.0,1,3,863.1,464.6,1031.5,461.5,out,out,"[ 2.95586443e-01 -4.89515628e-01  1.35053891e+00  1.58158161e-01  2.22433746e-01  7.68217828e-01  3.48396015e+04  1.58373778e+02  7.21035401e+02  1.29313136e+04  2.44707510e+02  2.80284221e+02  9.10546132e+01  1.68428531e+02  3.00000000e-02]"
24.0,1,4,1021.2,481.9,892.9,478.7,eye,eye,"[ 5.07610728e+00  2.53914985e-02  2.47836659e-01  9.71671149e-01  2.86465624e-01  2.05781401e-01  3.56473370e+03 -8.10174361e+01  7.84796797e+02  1.47034192e+03  9.74981654e+01  3.19888891e+02 -9.14287489e+01  1.28339900e+02  2.70000000e-02]"
24.0,1,5,867.1,469.6,1028.7,466.4,out,out,"[ 2.03343454e+01 -2.40754646e+01  5.01714185e+01  5.17476921e+00  5.32009702e+00  1.76292052e+01  3.80654890e+04 -9.69178606e+02  3.26486547e+04  1.25283957e+04  1.91869926e+02  1.16710993e+04  9.11344216e+01  1.61631680e+02  3.70000000e-02]"
24.0,1,6,1021.5,467.3,1028.4,881.8,out,out,"[ 1.71349077e+00 -1.70500828e+00  1.86318940e+00  4.72574955e-01  3.48126317e-01  5.53439702e-01  5.22487589e+03  3.04603212e+02  4.21616239e+04  1.65246850e+03  1.21562682e+02  1.37801675e+04  9.53689668e-01  4.14557427e+02  6.90000000e-02]"
24.0,1,7,1027.3,887.6,971.4,946.0,out,out,"[ 2.85909249e+00 -1.50604254e+00  9.81122603e-01  7.09822808e-01  4.07028113e-01  4.27469265e-01  4.79878403e+03 -3.08841225e+02  3.40046884e+03  1.61452776e+03  1.25118520e+02  1.10680187e+03 -4.37470113e+01  8.08416353e+01  4.60000000e-02]"
24.0,1,8,965.8,947.4,942.6,925.1,out,out,"[ 8.62440763e-01  6.09046053e-01  2.44068894e+00  2.58539721e-01  3.05826453e-01  1.26817878e+00  2.18698799e+03  2.43691738e+02  4.87295828e+04  7.88978383e+02  6.37596375e+01  1.78908562e+04 -1.33866825e+02  3.21796520e+01  1.80000000e-02]"
24.0,1,9,941.2,931.0,936.4,997.1,out,out,"[ 2.50413236e-01 -8.53082886e-02  1.58874305e-01  1.06981653e-01  7.75643174e-02  1.25504335e-01  1.63349168e+02 -2.07026622e+01  1.16705939e+04  5.85469070e+01  3.46284472e+01  4.08919752e+03 -4.15337138e+00  6.62740522e+01  3.80000000e-02]"
24.0,1,10,932.2,1009.2,1156.5,1029.9,out,out,"[ 1.10947797e+01 -1.44558940e+01  1.92458725e+01  2.39831516e+00  1.80446967e+00  2.30738224e+00  8.41974267e+03 -4.80872975e+02  4.89532098e+04  2.85347585e+03  1.09700781e+02  1.77843121e+04  8.47272731e+01  2.25253146e+02  4.30000000e-02]"
24.0,1,11,1178.8,1025.0,986.1,552.5,out,mouth_nose,"[ 1.75583985e+00  2.51092518e+00  8.35802292e+00  4.38416313e-01  5.12253126e-01  2.23703453e+00  6.86168491e+03  3.08239302e+02  1.00871619e+04  2.30572668e+03  1.18163334e+02  4.04868658e+03 -1.57812857e+02  5.10283784e+02  4.90000000e-02]"
24.0,1,12,946.4,516.2,916.9,480.4,eye,eye,"[ 1.66313324e+00  1.34399345e+00  2.87771583e+00  3.45509412e-01  2.70794145e-01  8.09028199e-01  8.55204274e+02  7.73551704e+01  7.29742142e+02  4.42545232e+02  7.04298794e+01  3.85115287e+02 -1.40510715e+02  4.63884684e+01  1.40000000e-02]"
24.0,2,0,938.9,490.6,948.9,485.9,eye,eye,"[ 2.82905744e+01 -2.12182848e+01  3.00438820e+01  2.16788501e+01  1.02099862e+01  1.21972713e+01  4.65020557e+04 -8.51600994e+02  1.37343918e+04  1.63388880e+04  1.62961440e+02  5.43005990e+03  1.15173525e+02  1.10494344e+01  1.00000000e-02]"
24.0,2,1,952.7,492.5,910.3,475.2,eye,eye,"[ 2.30475301e+01 -2.02345859e+01  3.45792834e+01  1.21445135e+01  6.72276179e+00  1.21351912e+01  4.78167260e+04 -9.03573426e+02  1.49340502e+04  1.61603442e+04  1.70826650e+02  5.94059345e+03 -1.12196386e+02  4.57935585e+01  2.10000000e-02]"
24.0,2,2,898.5,471.4,878.7,471.3,out,out,"[ 3.06379287e+01 -2.53567782e+01  3.96645522e+01  1.71732784e+01  8.71032210e+00  1.53335007e+01  4.51495650e+04 -9.50018718e+02  1.98503979e+04  1.59645254e+04  1.90030265e+02  7.82709730e+03 -9.02893702e+01  1.98002525e+01  1.70000000e-02]"
24.0,2,3,884.5,472.3,998.2,466.3,eye,out,"[ 1.63068688e-01 -3.70028559e-01  1.31021610e+00  8.58598183e-02  1.42619042e-01  5.67740939e-01  2.58704524e+04  1.28559952e+02  2.10770509e+02  1.00290165e+04  1.75313867e+02  8.87381931e+01  9.30207221e+01  1.13858201e+02  2.40000000e-02]"
24.0,2,4,1004.2,469.5,1028.1,469.2,out,out,"[ 3.26521463e+01 -2.72070969e+01  4.74842168e+01  1.75740669e+01  9.11552446e+00  2.12774119e+01  4.73654923e+04 -9.92149650e+02  2.11069625e+04  1.61495415e+04  1.91198172e+02  8.35719095e+03  9.07191561e+01  2.39018828e+01  1.60000000e-02]"
24.0,2,5,1009.6,479.8,892.1,479.3,eye,eye,"[ 4.55378400e+00 -6.59384694e-02  1.39762928e-01  8.84968063e-01  1.69072358e-01  1.17863436e-01  3.90842464e+03 -1.26668222e+02  1.28534183e+02  1.53101964e+03  7.16942108e+01  5.32607607e+01 -9.02438104e+01  1.17501064e+02  2.80000000e-02]"
24.0,2,6,883.5,485.5,931.8,562.3,eye,mouth_nose,"[ 1.87786474e-01 -8.09961656e-02  2.62980013e-01  1.44187175e-01  1.22439710e-01  2.32808510e-01  5.92570172e+03  3.78686733e+02  8.99754354e+03  2.26443778e+03  1.52635878e+02  3.48406338e+03  3.21660439e+01  9.07255752e+01  2.70000000e-02]"
24.0,2,7,932.5,563.9,885.1,462.4,mouth_nose,out,"[ 9.26112299e-01  9.95069255e-01  4.01959985e+00  2.35733288e-01  2.86200784e-01  1.30095404e+00  1.10020995e+03  1.20147326e+02  4.77107311e+03  3.95802366e+02  8.12523941e+01  1.74011985e+03 -1.54967657e+02  1.12022364e+02  3.60000000e-02]"
24.0,2,8,875.8,474.1,835.2,953.9,eye,out,"[ 3.07172610e+00 -2.64452009e+00  2.41481460e+00  6.53187935e-01  3.77066407e-01  4.45198885e-01  7.48705156e+02 -1.00964222e+01  4.41286785e+04  2.44111875e+02  5.16766815e+01  1.46624065e+04 -4.83676586e+00  4.81514693e+02  7.20000000e-02]"
24.0,2,9,840.1,945.3,845.8,936.3,out,out,"[ 2.86607098e+01 -2.38519918e+01  3.23040972e+01  1.44915580e+01  7.38994785e+00  8.33085332e+00  1.24663777e+04 -5.80610062e+02  4.18961713e+04  4.22905046e+03  1.26484096e+02  1.55931276e+04  1.47652557e+02  1.06531685e+01  1.00000000e-02]"
24.0,2,10,848.3,939.6,914.9,969.4,out,out,"[ 2.64779145e-01 -4.68333340e-02  1.51436137e-01  2.19642071e-01  1.06920009e-01  1.31634359e-01  2.32615957e+04  6.98656446e+02  5.04646290e+03  9.74228583e+03  2.71726255e+02  2.37316432e+03  6.58939928e+01  7.29630043e+01  1.50000000e-02]"
24.0,2,11,926.4,988.0,935.8,1005.7,out,out,"[ 1.55529939e+01 -1.52956444e+01  1.96304883e+01  6.41334846e+00  3.47949756e+00  3.50079816e+00  4.37099826e+03 -3.47027389e+02  5.02366450e+04  1.61438621e+03  8.56346678e+01  1.81232523e+04  2.79715846e+01  2.00412075e+01  1.50000000e-02]"
24.0,2,12,927.6,1011.0,712.1,996.9,out,out,"[ 7.79814790e+00  3.30722486e-01  1.58785179e-01  1.79886898e+00  4.41652270e-01  1.28439200e-01  4.48732493e+03  1.95771447e+01  1.34010236e+03  1.90184373e+03  8.14718776e+01  5.31450750e+02 -9.37434831e+01  2.15960783e+02  3.20000000e-02]"
24.0,2,13,702.1,985.8,678.7,951.5,out,out,"[ 1.42229932e+00  7.99872027e-01  2.08447519e+00  4.42002924e-01  2.52295091e-01  5.14292699e-01  9.91736222e+02  3.84300995e+01  8.41527822e+02  5.19346747e+02  7.65978351e+01  4.25071842e+02 -1.45697576e+02  4.15216811e+01  1.40000000e-02]"
24.0,2,14,674.3,939.0,621.5,862.2,out,out,"[ 1.22127339e+00  5.37341310e-01  1.65890450e+00  4.51891973e-01  3.08670921e-01  7.09371260e-01  2.94642980e+03  2.60701171e+02  8.06068100e+03  9.95415591e+02  1.06619783e+02  2.72234759e+03 -1.45491477e+02  9.31991416e+01  4.30000000e-02]"
24.0,2,15,615.5,860.6,1071.6,878.4,out,out,"[ 1.39785714e+00 -1.32330658e+00  1.37406702e+00  3.89509249e-01  2.68811815e-01  3.91505953e-01  4.59158277e+04  6.73685909e+02  8.88070280e+02  1.56865895e+04  1.97375454e+02  2.90528937e+02  8.77650788e+01  4.56447204e+02  6.30000000e-02]"
