Subject,Trial,Saccade #,Start_X_Coord,Start_Y_Coord,End_X_Coord,End_Y_Coord,Start_ROI,End_ROI,feature
27.0,0,0,904.9,479.0,901.7,479.4,eye,eye,"[ 3.71054382e-01 -4.82421652e-02  2.10804881e-01  3.23651666e-01  1.13704633e-01  1.78247434e-01  7.46616882e+03  2.20830255e+02  5.15090449e+02  2.62367510e+03  1.67196877e+02  1.83736976e+02 -8.28749837e+01  3.22490310e+00  3.40000000e-02]"
27.0,0,1,898.8,487.6,889.2,528.3,eye,eye,"[ 1.19451634e+00 -9.66290663e-01  1.28139488e+00  4.66585840e-01  4.57001260e-01  8.42499397e-01  2.26456798e+03 -2.18533909e+02  6.10888582e+03  8.68831712e+02  1.11120822e+02  2.24525625e+03 -1.32719020e+01  4.18168626e+01  3.00000000e-02]"
27.0,0,2,884.5,533.4,908.5,488.6,eye,eye,"[ 2.01790544e-01 -3.71401156e-01  2.52675379e+00  1.67947803e-01  2.83453433e-01  1.30750510e+00  4.16432396e+03 -3.03015614e+02  3.29240754e+03  1.33993246e+03  1.14798244e+02  1.04412201e+03  1.51821410e+02  5.08236166e+01  4.90000000e-02]"
27.0,0,3,930.0,507.5,963.6,485.9,eye,eye,"[ 2.46856566e-01 -4.15591074e-01  2.38568170e+00  2.06931432e-01  3.15044107e-01  1.44151487e+00  1.05560430e+04 -4.61290460e+02  2.68513424e+03  4.16018590e+03  1.85965430e+02  1.08399230e+03  1.22735226e+02  3.99439607e+01  2.60000000e-02]"
27.0,0,4,964.9,475.5,897.7,496.4,eye,eye,"[ 9.08141095e+02 -2.18997509e-02  2.13089443e+00  1.88586954e+02  1.32651793e+00  1.81204499e+00  1.76589998e+04 -1.42941110e+00  1.00049757e+03  6.85381900e+03  7.85271118e+00  6.14643638e+02 -7.27236843e+01  7.03750666e+01  9.90000000e-02]"
27.0,0,5,899.3,501.8,618.8,939.9,eye,out,"[ 1.51028208e+01 -6.87031563e+00  3.32476540e+00  4.82936780e+00  1.37282829e+00  7.53169233e-01  2.33681800e+04 -7.25522022e+02  4.05653314e+04  7.89232356e+03  1.99616252e+02  1.39864286e+04 -3.26300042e+01  5.20203672e+02  8.70000000e-02]"
27.0,0,6,613.1,940.1,575.9,879.2,out,out,"[ 1.11385088e+00  1.71636485e-01  1.35133111e+00  7.56367048e-01  3.56670484e-01  5.85102830e-01  1.05273770e+04  4.78196351e+02  6.58217181e+03  3.47085698e+03  1.72051724e+02  2.17979664e+03 -1.48581852e+02  7.13628054e+01  4.60000000e-02]"
27.0,0,7,581.3,876.5,860.5,840.9,out,out,"[ 4.55286456e+00 -5.09736240e+00  6.06658646e+00  1.22022351e+00  7.90557994e-01  9.74546684e-01  4.45907145e+04 -8.48069528e+02  7.14973327e+03  1.54534098e+04  2.44901808e+02  2.40650740e+03  9.72664123e+01  2.81460477e+02  5.40000000e-02]"
27.0,0,8,856.6,843.4,1115.0,849.1,out,out,"[ 3.74685879e-01 -2.08043481e-01  2.19031504e-01  1.52838503e-01  1.23810955e-01  1.65786611e-01  3.99881234e+04 -3.44083789e+02  3.65155235e+02  1.38446849e+04  1.59364007e+02  1.02029621e+02  8.87363274e+01  2.58462860e+02  8.00000000e-02]"
27.0,0,9,1117.8,849.1,914.8,544.2,out,eye,"[ 1.72528560e+00  1.60876499e+00  4.32973778e+00  4.82873839e-01  3.91094012e-01  1.28538416e+00  2.80579750e+04  8.11019207e+02  2.67071183e+04  8.56497686e+03  2.20746456e+02  8.23819098e+03 -1.46344639e+02  3.66296342e+02  8.40000000e-02]"
